"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005743","GO:0005743","mitochondrial inner membrane","10/224","111/11113",7.89522198374614e-05,0.00482691380055753,0.00418836048128036,"evm.model.tig082700000225.10/evm.model.tig082700000127.150/evm.model.tig082700000357.48/evm.model.tig082700000206.83/evm.model.tig082700000310.32/evm.model.tig082700000127.97/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000096.32/evm.model.tig082700000287.13",10
"GO:0070469","GO:0070469","respirasome","4/224","14/11113",0.000137238172271071,0.00482691380055753,0.00418836048128036,"evm.model.tig082700000127.97/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000427.5",4
"GO:0030286","GO:0030286","dynein complex","9/224","101/11113",0.000195685694617197,0.00482691380055753,0.00418836048128036,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000283.4/evm.model.tig082700000155.18/evm.model.tig082700000127.248/evm.model.tig082700000149.260/evm.model.tig082700000225.1/evm.model.tig082700000153.246/evm.model.tig082700000227.7",9
"GO:0009536","GO:0009536","plastid","5/224","35/11113",0.000630705252419578,0.0116680471697622,0.0101244790519985,"evm.model.tig082700000096.124/evm.model.tig082700000435.17/evm.model.tig082700000020.123/evm.model.tig082700000122.341/evm.model.tig082700002120.127",5
"GO:0005681","GO:0005681","spliceosomal complex","6/224","58/11113",0.00105864261307435,0.0156679106735004,0.0135951998731654,"evm.model.tig082700000178.191/evm.model.tig082700000310.5/evm.model.tig082700000310.32/evm.model.tig082700000287.41/evm.model.tig082700002117.359/evm.model.tig082700000127.61",6
"GO:0110165","GO:0110165","cellular anatomical entity","11/224","224/11113",0.00571003787814763,0.070423800497154,0.0611074229064921,"evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000175.38/evm.model.tig082700000153.256/evm.model.tig082700000149.274/evm.model.tig082700000106.167/evm.model.tig082700000075.28/evm.model.tig082700002120.127/evm.model.tig082700000393.17/evm.model.tig082700000301.10/evm.model.tig082700000227.7",11
"GO:0005858","GO:0005858","axonemal dynein complex","3/224","21/11113",0.00821939285039488,0.0868907244184601,0.075395934417156,"evm.model.tig082700000096.201/evm.model.tig082700000175.25/evm.model.tig082700000225.1",3
"GO:0005730","GO:0005730","nucleolus","8/224","150/11113",0.0109691321532829,0.101464472417867,0.088041718598718,"evm.model.tig082700000132.341/evm.model.tig082700000071.230/evm.model.tig082700000290.11/evm.model.tig082700000071.80/evm.model.tig082700000016.853/evm.model.tig082700000160.160/evm.model.tig082700000251.7/evm.model.tig082700002117.551",8
"GO:0000974","GO:0000974","Prp19 complex","2/224","11/11113",0.0197343523056177,0.162260230068412,0.140794794227214,"evm.model.tig082700000310.32/evm.model.tig082700002117.359",2
"GO:1990904","GO:1990904","ribonucleoprotein complex","3/224","31/11113",0.0239820144707756,0.177466907083739,0.153989777128138,"evm.model.tig082700000128.40/evm.model.tig082700000020.624/evm.model.tig082700000258.86",3
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","2/224","13/11113",0.0272577605064564,0.183370388861616,0.159112286209937,"evm.model.tig082700000127.97/evm.model.tig082700000106.123",2
"GO:0015630","GO:0015630","microtubule cytoskeleton","2/224","16/11113",0.0403137644098148,0.248601547193858,0.215714002543746,"evm.model.tig082700000322.42/evm.model.tig082700000227.7",2
"GO:0016607","GO:0016607","nuclear speck","2/224","17/11113",0.0450944295362164,0.256691368129232,0.222733619571595,"evm.model.tig082700002115.34/evm.model.tig082700000127.61",2
"GO:0005811","GO:0005811","lipid droplet","2/224","21/11113",0.0660921752213083,0.349344354741201,0.303129525451113,"evm.model.tig082700000301.15/evm.model.tig082700000180.36",2
