"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008569","GO:0008569","minus-end-directed microtubule motor activity","8/219","83/11023",0.000234344218526225,0.0207289338980613,0.0190560725659371,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000283.4/evm.model.tig082700000155.18/evm.model.tig082700000127.248/evm.model.tig082700000149.260/evm.model.tig082700000225.1/evm.model.tig082700000153.246",8
"GO:0003729","GO:0003729","mRNA binding","8/219","85/11023",0.000276385785307484,0.0207289338980613,0.0190560725659371,"evm.model.tig082700000016.853/evm.model.tig082700000349.37/evm.model.tig082700000287.41/evm.model.tig082700031372.155/evm.model.tig082700002115.34/evm.model.tig082700000127.61/evm.model.tig082700000075.28/evm.model.tig082700000328.18",8
"GO:0003723","GO:0003723","RNA binding","18/219","440/11023",0.00295589231652461,0.147794615826231,0.135867331040254,"evm.model.tig082700002118.82/evm.model.tig082700000071.230/evm.model.tig082700031374.36/evm.model.tig082700000290.11/evm.model.tig082700000178.191/evm.model.tig082700000444.1/evm.model.tig082700000016.853/evm.model.tig082700000071.48/evm.model.tig082700000349.37/evm.model.tig082700000310.5/evm.model.tig082700000310.32/evm.model.tig082700000128.40/evm.model.tig082700002115.34/evm.model.tig082700000071.49/evm.model.tig082700000127.61/evm.model.tig082700000075.28/evm.model.tig082700000020.624/evm.model.tig082700000328.18",18
"GO:0051959","GO:0051959","dynein light intermediate chain binding","4/219","43/11023",0.0102065390123512,0.288059322494123,0.264812429801615,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000225.1/evm.model.tig082700000153.246",4
"GO:0003746","GO:0003746","translation elongation factor activity","4/219","48/11023",0.0149060313254991,0.288059322494123,0.264812429801615,"evm.model.tig082700000122.247/evm.model.tig082700031372.146/evm.model.tig082700000122.341/evm.model.tig082700000258.86",4
"GO:0005471","GO:0005471","ATP:ADP antiporter activity","2/219","10/11023",0.0159185866684178,0.288059322494123,0.264812429801615,"evm.model.tig082700000225.10/evm.model.tig082700000357.48",2
"GO:1990404","GO:1990404","NAD+-protein ADP-ribosyltransferase activity","2/219","10/11023",0.0159185866684178,0.288059322494123,0.264812429801615,"evm.model.tig082700000160.160/evm.model.tig082700002117.551",2
"GO:0045505","GO:0045505","dynein intermediate chain binding","4/219","51/11023",0.0182864296384301,0.288059322494123,0.264812429801615,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000225.1/evm.model.tig082700000153.246",4
"GO:0004197","GO:0004197","cysteine-type endopeptidase activity","6/219","106/11023",0.0189278940616016,0.288059322494123,0.264812429801615,"evm.model.tig082700000167.128/evm.model.tig082700000016.533/evm.model.tig082700000128.249/evm.model.tig082700000106.167/evm.model.tig082700000301.10/evm.model.tig082700000075.349",6
"GO:0008239","GO:0008239","dipeptidyl-peptidase activity","2/219","11/11023",0.0192039548329415,0.288059322494123,0.264812429801615,"evm.model.tig082700000167.90/evm.model.tig082700000151.240",2
"GO:0003950","GO:0003950","NAD+ ADP-ribosyltransferase activity","3/219","30/11023",0.0211648024303646,0.288610942232244,0.265319532859116,"evm.model.tig082700000155.9/evm.model.tig082700000160.160/evm.model.tig082700002117.551",3
"GO:0043022","GO:0043022","ribosome binding","3/219","32/11023",0.0251218832204765,0.306175766168135,0.2814668446879,"evm.model.tig082700031372.146/evm.model.tig082700002120.127/evm.model.tig082700000258.86",3
"GO:0003968","GO:0003968","RNA-directed 5'-3' RNA polymerase activity","2/219","13/11023",0.026535233067905,0.306175766168135,0.2814668446879,"evm.model.tig082700000071.48/evm.model.tig082700000071.49",2
"GO:0009055","GO:0009055","electron transfer activity","2/219","14/11023",0.0305586436136862,0.327414038718066,0.300991151382924,"evm.model.tig082700000427.5/evm.model.tig082700000287.13",2
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","3/219","36/11023",0.034143905565687,0.34143905565687,0.313884324849474,"evm.model.tig082700000127.29/evm.model.tig082700000178.11/evm.model.tig082700000020.605",3
"GO:0005525","GO:0005525","GTP binding","12/219","350/11023",0.0467007634224284,0.385189723185779,0.354104236753243,"evm.model.tig082700000125.216/evm.model.tig082700000122.247/evm.model.tig082700000149.274/evm.model.tig082700031372.146/evm.model.tig082700000162.187/evm.model.tig082700000322.42/evm.model.tig082700000122.341/evm.model.tig082700002117.359/evm.model.tig082700000178.158/evm.model.tig082700002120.127/evm.model.tig082700000258.86/evm.model.tig082700000071.488",12
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","6/219","132/11023",0.0478626506579813,0.385189723185779,0.354104236753243,"evm.model.tig082700000140.299/evm.model.tig082700000016.557/evm.model.tig082700002117.200/evm.model.tig082700000155.34/evm.model.tig082700000111.121/evm.model.tig082700002117.359",6
"GO:0003924","GO:0003924","GTPase activity","10/219","275/11023",0.0479004292178986,0.385189723185779,0.354104236753243,"evm.model.tig082700000125.216/evm.model.tig082700000122.247/evm.model.tig082700000149.274/evm.model.tig082700031372.146/evm.model.tig082700000322.42/evm.model.tig082700000122.341/evm.model.tig082700002117.359/evm.model.tig082700000178.158/evm.model.tig082700000258.86/evm.model.tig082700000071.488",10
"GO:0016298","GO:0016298","lipase activity","2/219","18/11023",0.0487906982701987,0.385189723185779,0.354104236753243,"evm.model.tig082700000290.19/evm.model.tig082700000301.15",2
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","2/219","20/11023",0.0590518188914878,0.442888641686158,0.407146751304468,"evm.model.tig082700000172.118/evm.model.tig082700000071.488",2
"GO:0016874","GO:0016874","ligase activity","10/219","311/11023",0.0916303994467183,0.512197118096416,0.4708619120746,"evm.model.tig082700000351.29/evm.model.tig082700031374.36/evm.model.tig082700000075.60/evm.model.tig082700000071.48/evm.model.tig082700000162.187/evm.model.tig082700000253.115/evm.model.tig082700000122.302/evm.model.tig082700000292.69/evm.model.tig082700000122.178/evm.model.tig082700000136.294",10
"GO:0004180","GO:0004180","carboxypeptidase activity","3/219","54/11023",0.0918735903678769,0.512197118096416,0.4708619120746,"evm.model.tig082700000075.356/evm.model.tig082700000151.240/evm.model.tig082700000016.37",3
"GO:0003743","GO:0003743","translation initiation factor activity","4/219","88/11023",0.0978074568833184,0.512197118096416,0.4708619120746,"evm.model.tig082700031372.146/evm.model.tig082700000349.37/evm.model.tig082700000096.169/evm.model.tig082700000075.28",4
"GO:0016757","GO:0016757","glycosyltransferase activity","5/219","124/11023",0.100839394323406,0.512197118096416,0.4708619120746,"evm.model.tig082700002118.82/evm.model.tig082700000155.9/evm.model.tig082700000160.160/evm.model.tig082700000113.132/evm.model.tig082700002117.551",5
"GO:0003724","GO:0003724","RNA helicase activity","3/219","57/11023",0.10391393018551,0.512197118096416,0.4708619120746,"evm.model.tig082700000071.230/evm.model.tig082700000128.40/evm.model.tig082700000172.131",3
"GO:0004386","GO:0004386","helicase activity","6/219","162/11023",0.103935175420338,0.512197118096416,0.4708619120746,"evm.model.tig082700000071.230/evm.model.tig082700000016.143/evm.model.tig082700000162.3/evm.model.tig082700000128.40/evm.model.tig082700000172.131/evm.model.tig082700000383.39",6
"GO:0071949","GO:0071949","FAD binding","2/219","28/11023",0.106095427159191,0.512197118096416,0.4708619120746,"evm.model.tig082700000116.173/evm.model.tig082700000178.137",2
"GO:0005096","GO:0005096","GTPase activator activity","3/219","59/11023",0.112268887796442,0.512197118096416,0.4708619120746,"evm.model.tig082700000116.234/evm.model.tig082700000140.36/evm.model.tig082700000292.69",3
"GO:0051536","GO:0051536","iron-sulfur cluster binding","3/219","59/11023",0.112268887796442,0.512197118096416,0.4708619120746,"evm.model.tig082700000096.124/evm.model.tig082700000106.123/evm.model.tig082700000140.131",3
"GO:0020037","GO:0020037","heme binding","4/219","94/11023",0.117054820020092,0.512197118096416,0.4708619120746,"evm.model.tig082700000160.48/evm.model.tig082700000377.13/evm.model.tig082700000427.5/evm.model.tig082700000287.13",4
