"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko05014","ko05014","Amyotrophic lateral sclerosis","23/117","323/4543",5.33025712217546e-06,0.0011726565668786,0.00116704576990789,"evm.model.tig082700000116.89/evm.model.tig082700000254.39/evm.model.tig082700000096.201/evm.model.tig082700000219.37/evm.model.tig082700000283.4/evm.model.tig082700000096.439/evm.model.tig082700000155.18/evm.model.tig082700000155.9/evm.model.tig082700000127.248/evm.model.tig082700000149.260/evm.model.tig082700000377.13/evm.model.tig082700000153.20/evm.model.tig082700000016.844/evm.model.tig082700000225.1/evm.model.tig082700000174.25/evm.model.tig082700002115.34/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000387.8/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000287.13/evm.model.tig082700000106.46",23
"ko05016","ko05016","Huntington disease","18/117","296/4543",0.000480506477982286,0.0528557125780515,0.052602814431745,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000283.4/evm.model.tig082700000096.439/evm.model.tig082700000155.18/evm.model.tig082700000357.48/evm.model.tig082700000155.9/evm.model.tig082700000127.248/evm.model.tig082700000149.260/evm.model.tig082700000153.20/evm.model.tig082700000225.1/evm.model.tig082700000174.25/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000287.13/evm.model.tig082700000106.46",18
"ko04260","ko04260","Cardiac muscle contraction","4/117","20/4543",0.00147122481515647,0.107889819778141,0.107373600544753,"evm.model.tig082700000174.35/evm.model.tig082700000071.497/evm.model.tig082700000140.131/evm.model.tig082700000287.13",4
"ko00190","ko00190","Oxidative phosphorylation","6/117","58/4543",0.00348414349573545,0.162642804202329,0.161864608966912,"evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000156.65/evm.model.tig082700000238.50/evm.model.tig082700000427.5/evm.model.tig082700000287.13",6
"ko05022","ko05022","Pathways of neurodegeneration - multiple diseases","22/117","470/4543",0.00369642736823476,0.162642804202329,0.161864608966912,"evm.model.tig082700000116.89/evm.model.tig082700000096.201/evm.model.tig082700000219.37/evm.model.tig082700000283.4/evm.model.tig082700000096.439/evm.model.tig082700000155.18/evm.model.tig082700000357.48/evm.model.tig082700000155.9/evm.model.tig082700000127.248/evm.model.tig082700000149.260/evm.model.tig082700000377.13/evm.model.tig082700000153.20/evm.model.tig082700000016.844/evm.model.tig082700000225.1/evm.model.tig082700000174.25/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000122.178/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000287.13/evm.model.tig082700000106.46",22
"ko00640","ko00640","Propanoate metabolism","4/117","27/4543",0.00463801180281766,0.170060432769981,0.169246746488785,"evm.model.tig082700000246.27/evm.model.tig082700000162.187/evm.model.tig082700000067.295/evm.model.tig082700000136.294",4
"ko05208","ko05208","Chemical carcinogenesis - reactive oxygen species","8/117","117/4543",0.0100332742133839,0.315331475277781,0.313822712238174,"evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000357.48/evm.model.tig082700000377.13/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000106.167/evm.model.tig082700000287.13",8
"ko05020","ko05020","Prion disease","11/117","205/4543",0.0157147812421083,0.432156484157979,0.430088749784017,"evm.model.tig082700000195.110/evm.model.tig082700000096.439/evm.model.tig082700000357.48/evm.model.tig082700000155.9/evm.model.tig082700000174.25/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000259.38/evm.model.tig082700000287.13",11
"ko04212","ko04212","Longevity regulating pathway - worm","8/117","138/4543",0.0250185734366551,0.553478171094556,0.550829950180228,"evm.model.tig082700000377.13/evm.model.tig082700000153.20/evm.model.tig082700000160.160/evm.model.tig082700031385.8/evm.model.tig082700000106.167/evm.model.tig082700002117.551/evm.model.tig082700000016.67/evm.model.tig082700000106.46",8
"ko04146","ko04146","Peroxisome","5/117","65/4543",0.0251580986861162,0.553478171094556,0.550829950180228,"evm.model.tig082700000153.10/evm.model.tig082700000301.15/evm.model.tig082700000377.13/evm.model.tig082700000106.20/evm.model.tig082700000279.44",5
"ko04210","ko04210","Apoptosis","9/117","177/4543",0.0376701609031255,0.75340321806251,0.749798417976086,"evm.model.tig082700000167.128/evm.model.tig082700000160.160/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000160.172/evm.model.tig082700002117.551/evm.model.tig082700000075.349/evm.model.tig082700000427.5/evm.model.tig082700000071.488",9
"ko04612","ko04612","Antigen processing and presentation","5/117","75/4543",0.0430049384676967,0.788423871907773,0.784651508884291,"evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000301.10/evm.model.tig082700000075.349",5
"ko03040","ko03040","Spliceosome","7/117","134/4543",0.0563087708206736,0.952917660042168,0.948358245400818,"evm.model.tig082700000178.191/evm.model.tig082700000310.5/evm.model.tig082700000310.32/evm.model.tig082700000128.40/evm.model.tig082700002115.34/evm.model.tig082700002117.359/evm.model.tig082700000127.61",7
"ko05323","ko05323","Rheumatoid arthritis","4/117","59/4543",0.0643899372064541,0.958134520043381,0.953550144349394,"evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000075.349",4
"ko05012","ko05012","Parkinson disease","11/117","268/4543",0.0825858418010618,0.958134520043381,0.953550144349394,"evm.model.tig082700000195.110/evm.model.tig082700000096.439/evm.model.tig082700000357.48/evm.model.tig082700000155.9/evm.model.tig082700000174.25/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000122.178/evm.model.tig082700000427.5/evm.model.tig082700000071.488/evm.model.tig082700000287.13",11
"ko00983","ko00983","Drug metabolism - other enzymes","4/117","66/4543",0.0891558966623628,0.958134520043381,0.953550144349394,"evm.model.tig082700000140.216/evm.model.tig082700000301.15/evm.model.tig082700000106.167/evm.model.tig082700002117.291",4
"ko01200","ko01200","Carbon metabolism","6/117","122/4543",0.0934099830186866,0.958134520043381,0.953550144349394,"evm.model.tig082700000096.129/evm.model.tig082700000246.27/evm.model.tig082700000377.13/evm.model.tig082700000162.187/evm.model.tig082700000140.208/evm.model.tig082700000136.294",6
"ko04932","ko04932","Non-alcoholic fatty liver disease","4/117","68/4543",0.0969684716130126,0.958134520043381,0.953550144349394,"evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000427.5/evm.model.tig082700000287.13",4
"ko04911","ko04911","Insulin secretion","3/117","45/4543",0.108478324873043,0.958134520043381,0.953550144349394,"evm.model.tig082700000067.403/evm.model.tig082700000195.110/evm.model.tig082700000071.497",3
"ko04144","ko04144","Endocytosis","7/117","157/4543",0.108803227893958,0.958134520043381,0.953550144349394,"evm.model.tig082700000096.97/evm.model.tig082700000140.299/evm.model.tig082700000020.211/evm.model.tig082700000187.100/evm.model.tig082700000156.203/evm.model.tig082700000075.21/evm.model.tig082700000140.36",7
"ko05322","ko05322","Systemic lupus erythematosus","2/117","22/4543",0.108805572355215,0.958134520043381,0.953550144349394,"evm.model.tig082700000020.624/evm.model.tig082700000151.129",2
"ko05415","ko05415","Diabetic cardiomyopathy","5/117","99/4543",0.110695032895549,0.958134520043381,0.953550144349394,"evm.model.tig082700000357.48/evm.model.tig082700000106.123/evm.model.tig082700000140.131/evm.model.tig082700000160.172/evm.model.tig082700000287.13",5
"ko01232","ko01232","Nucleotide metabolism","4/117","72/4543",0.113518003526203,0.958134520043381,0.953550144349394,"evm.model.tig082700000140.216/evm.model.tig082700000301.15/evm.model.tig082700000187.131/evm.model.tig082700002117.291",4
"ko00920","ko00920","Sulfur metabolism","2/117","23/4543",0.117239139146653,0.958134520043381,0.953550144349394,"evm.model.tig082700000116.173/evm.model.tig082700000178.137",2
"ko04120","ko04120","Ubiquitin mediated proteolysis","7/117","164/4543",0.128715135480742,0.958134520043381,0.953550144349394,"evm.model.tig082700000140.299/evm.model.tig082700000289.14/evm.model.tig082700000075.63/evm.model.tig082700031369.62/evm.model.tig082700000155.34/evm.model.tig082700002117.359/evm.model.tig082700000122.178",7
"ko04145","ko04145","Phagosome","5/117","104/4543",0.129028106623572,0.958134520043381,0.953550144349394,"evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000160.67/evm.model.tig082700000075.349/evm.model.tig082700000071.488",5
"ko01212","ko01212","Fatty acid metabolism","3/117","49/4543",0.131074987122142,0.958134520043381,0.953550144349394,"evm.model.tig082700000246.27/evm.model.tig082700000106.20/evm.model.tig082700000279.44",3
"ko05205","ko05205","Proteoglycans in cancer","7/117","165/4543",0.131702373950974,0.958134520043381,0.953550144349394,"evm.model.tig082700000195.110/evm.model.tig082700000167.128/evm.model.tig082700000167.150/evm.model.tig082700000128.40/evm.model.tig082700000160.67/evm.model.tig082700000393.9/evm.model.tig082700000075.349",7
"ko04624","ko04624","Toll and Imd signaling pathway","2/117","25/4543",0.13456973098133,0.958134520043381,0.953550144349394,"evm.model.tig082700000155.34/evm.model.tig082700000393.9",2
"ko01120","ko01120","Microbial metabolism in diverse environments","8/117","198/4543",0.136543280215951,0.958134520043381,0.953550144349394,"evm.model.tig082700000096.129/evm.model.tig082700000246.27/evm.model.tig082700000301.15/evm.model.tig082700000162.187/evm.model.tig082700000140.208/evm.model.tig082700000116.173/evm.model.tig082700000178.137/evm.model.tig082700000136.294",8
"ko00330","ko00330","Arginine and proline metabolism","3/117","51/4543",0.142948051778755,0.958134520043381,0.953550144349394,"evm.model.tig082700031375.47/evm.model.tig082700000113.132/evm.model.tig082700000400.23",3
"ko05169","ko05169","Epstein-Barr virus infection","4/117","79/4543",0.145221111643085,0.958134520043381,0.953550144349394,"evm.model.tig082700000140.299/evm.model.tig082700000096.439/evm.model.tig082700000174.25/evm.model.tig082700000427.5",4
