"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000165","GO:0000165","MAPK cascade","5/117","75/10119",0.00171853577813528,0.195913078707422,0.191752413139305,"evm.model.tig082700000196.73/evm.model.tig082700000122.243/evm.model.tig082700000075.3/evm.model.tig082700000195.136/evm.model.tig082700000067.70",5
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process","4/117","81/10119",0.0142708157106114,0.38237174582282,0.374251200897681,"evm.model.tig082700000020.609/evm.model.tig082700000228.18/evm.model.tig082700000212.53/evm.model.tig082700000206.17",4
"GO:0010468","GO:0010468","regulation of gene expression","2/117","16/10119",0.0143090248098817,0.38237174582282,0.374251200897681,"evm.model.tig082700000128.205/evm.model.tig082700000254.82",2
"GO:0030245","GO:0030245","cellulose catabolic process","2/117","17/10119",0.0160955378552428,0.38237174582282,0.374251200897681,"evm.model.tig082700000196.53/evm.model.tig082700000298.83",2
"GO:0006397","GO:0006397","mRNA processing","4/117","85/10119",0.016770690606264,0.38237174582282,0.374251200897681,"evm.model.tig082700000128.3/evm.model.tig082700000071.429/evm.model.tig082700000147.107/evm.model.tig082700000122.322",4
"GO:0030154","GO:0030154","cell differentiation","2/117","20/10119",0.0219862722265882,0.392802225595873,0.384460165403163,"evm.model.tig082700000139.233/evm.model.tig082700000125.59",2
"GO:0035725","GO:0035725","sodium ion transmembrane transport","2/117","21/10119",0.0241194349050097,0.392802225595873,0.384460165403163,"evm.model.tig082700000156.29/evm.model.tig082700000287.12",2
"GO:0018105","GO:0018105","peptidyl-serine phosphorylation","7/117","276/10119",0.040797960520505,0.400113448402062,0.391616117549572,"evm.model.tig082700000120.201/evm.model.tig082700000071.393/evm.model.tig082700000215.29/evm.model.tig082700000219.42/evm.model.tig082700000215.69/evm.model.tig082700000184.142/evm.model.tig082700002120.352",7
"GO:0051301","GO:0051301","cell division","4/117","125/10119",0.0567479714094098,0.400113448402062,0.391616117549572,"evm.model.tig082700000334.2/evm.model.tig082700000113.281/evm.model.tig082700000128.205/evm.model.tig082700000016.526",4
"GO:0035556","GO:0035556","intracellular signal transduction","5/117","190/10119",0.0691798636246273,0.400113448402062,0.391616117549572,"evm.model.tig082700000122.243/evm.model.tig082700000174.171/evm.model.tig082700000075.3/evm.model.tig082700000215.69/evm.model.tig082700000106.258",5
