"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051233","GO:0051233","spindle midzone","2/135","18/11113",0.0197346674583438,0.506397857191618,0.506397857191618,"evm.model.tig082700000334.2/evm.model.tig082700000071.393",2
"GO:0005815","GO:0005815","microtubule organizing center","2/135","45/11113",0.103482642484551,0.506397857191618,0.506397857191618,"evm.model.tig082700000334.2/evm.model.tig082700000106.186",2
"GO:0000178","GO:0000178","exosome (RNase complex)","1/135","10/11113",0.115093301555411,0.506397857191618,0.506397857191618,"evm.model.tig082700000351.16",1
"GO:0019773","GO:0019773","proteasome core complex, alpha-subunit complex","1/135","10/11113",0.115093301555411,0.506397857191618,0.506397857191618,"evm.model.tig082700031375.22",1
"GO:0000974","GO:0000974","Prp19 complex","1/135","11/11113",0.125852772355197,0.506397857191618,0.506397857191618,"evm.model.tig082700000128.3",1
"GO:0005776","GO:0005776","autophagosome","3/135","104/11113",0.132719902323055,0.506397857191618,0.506397857191618,"evm.model.tig082700000120.201/evm.model.tig082700000071.393/evm.model.tig082700002120.352",3
"GO:0000932","GO:0000932","P-body","1/135","13/11113",0.146983672739989,0.506397857191618,0.506397857191618,"evm.model.tig082700000147.107",1
"GO:0005681","GO:0005681","spliceosomal complex","2/135","58/11113",0.156479259034893,0.506397857191618,0.506397857191618,"evm.model.tig082700000147.107/evm.model.tig082700000122.322",2
"GO:0031201","GO:0031201","SNARE complex","1/135","14/11113",0.157358195639097,0.506397857191618,0.506397857191618,"evm.model.tig082700000139.233",1
"GO:0031616","GO:0031616","spindle pole centrosome","1/135","14/11113",0.157358195639097,0.506397857191618,0.506397857191618,"evm.model.tig082700000071.393",1
"GO:0031966","GO:0031966","mitochondrial membrane","1/135","14/11113",0.157358195639097,0.506397857191618,0.506397857191618,"evm.model.tig082700002117.562",1
"GO:0046540","GO:0046540","U4/U6 x U5 tri-snRNP complex","1/135","14/11113",0.157358195639097,0.506397857191618,0.506397857191618,"evm.model.tig082700000147.107",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/135","16/11113",0.177732982673535,0.506397857191618,0.506397857191618,"evm.model.tig082700000075.158",1
"GO:0005876","GO:0005876","spindle microtubule","1/135","17/11113",0.187736231059502,0.506397857191618,0.506397857191618,"evm.model.tig082700000071.393",1
"GO:0032133","GO:0032133","chromosome passenger complex","1/135","17/11113",0.187736231059502,0.506397857191618,0.506397857191618,"evm.model.tig082700000071.393",1
"GO:0005839","GO:0005839","proteasome core complex","1/135","18/11113",0.197618675977217,0.506397857191618,0.506397857191618,"evm.model.tig082700031375.22",1
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","1/135","22/11113",0.235969126077212,0.569102009950923,0.569102009950923,"evm.model.tig082700000128.205",1
"GO:0005576","GO:0005576","extracellular region","4/135","219/11113",0.275953227335577,0.625454874335584,0.625454874335584,"evm.model.tig082700000016.425/evm.model.tig082700000016.828/evm.model.tig082700000020.378/evm.model.tig082700000206.17",4
"GO:0005887","GO:0005887","integral component of plasma membrane","2/135","88/11113",0.28984494176527,0.625454874335584,0.625454874335584,"evm.model.tig082700000174.171/evm.model.tig082700000287.12",2
"GO:0000151","GO:0000151","ubiquitin ligase complex","1/135","33/11113",0.332303875630537,0.647301868495765,0.647301868495765,"evm.model.tig082700000215.122",1
"GO:0005794","GO:0005794","Golgi apparatus","3/135","175/11113",0.357799926183617,0.647301868495765,0.647301868495765,"evm.model.tig082700000153.175/evm.model.tig082700000020.652/evm.model.tig082700000331.1",3
"GO:0005929","GO:0005929","cilium","3/135","178/11113",0.367758378047989,0.647301868495765,0.647301868495765,"evm.model.tig082700000067.63/evm.model.tig082700000308.52/evm.model.tig082700000125.59",3
"GO:0000139","GO:0000139","Golgi membrane","1/135","40/11113",0.387225425226755,0.647301868495765,0.647301868495765,"evm.model.tig082700000153.175",1
"GO:0005759","GO:0005759","mitochondrial matrix","1/135","40/11113",0.387225425226755,0.647301868495765,0.647301868495765,"evm.model.tig082700000296.23",1
"GO:0009279","GO:0009279","cell outer membrane","1/135","41/11113",0.394696261277906,0.647301868495765,0.647301868495765,"evm.model.tig082700000067.171",1
"GO:0005773","GO:0005773","vacuole","1/135","45/11113",0.423686237458174,0.647506926665298,0.647506926665298,"evm.model.tig082700000016.828",1
"GO:0042995","GO:0042995","cell projection","2/135","122/11113",0.438018496657204,0.647506926665298,0.647506926665298,"evm.model.tig082700000212.123/evm.model.tig082700000067.63",2
"GO:0031410","GO:0031410","cytoplasmic vesicle","1/135","48/11113",0.444520379761132,0.647506926665298,0.647506926665298,"evm.model.tig082700000153.175",1
"GO:0005575","GO:0005575","cellular_component","1/135","50/11113",0.457992704226674,0.647506926665298,0.647506926665298,"evm.model.tig082700000113.281",1
"GO:0000502","GO:0000502","proteasome complex","1/135","56/11113",0.49649417486233,0.667071068376615,0.667071068376615,"evm.model.tig082700031375.22",1
"GO:0110165","GO:0110165","cellular anatomical entity","3/135","224/11113",0.514383364310732,0.667071068376615,0.667071068376615,"evm.model.tig082700000016.828/evm.model.tig082700000172.34/evm.model.tig082700000020.378",3
"GO:0005654","GO:0005654","nucleoplasm","1/135","60/11113",0.520640833854919,0.667071068376615,0.667071068376615,"evm.model.tig082700000122.322",1
"GO:0012505","GO:0012505","endomembrane system","1/135","69/11113",0.570849308730608,0.709237019938029,0.709237019938029,"evm.model.tig082700000139.233",1
