"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008810","GO:0008810","cellulase activity","2/133","13/11023",0.0103307463221307,0.392382198234092,0.384792259176932,"evm.model.tig082700000196.53/evm.model.tig082700000298.83",2
"GO:0016799","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","2/133","13/11023",0.0103307463221307,0.392382198234092,0.384792259176932,"evm.model.tig082700002120.251/evm.model.tig082700000206.17",2
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","7/133","213/11023",0.0146158280334796,0.392382198234092,0.384792259176932,"evm.model.tig082700000122.243/evm.model.tig082700000016.598/evm.model.tig082700000071.393/evm.model.tig082700000075.3/evm.model.tig082700000016.636/evm.model.tig082700000128.205/evm.model.tig082700000106.258",7
"GO:0061608","GO:0061608","nuclear import signal receptor activity","2/133","16/11023",0.0155228098872491,0.392382198234092,0.384792259176932,"evm.model.tig082700000116.6/evm.model.tig082700000459.6",2
"GO:0003951","GO:0003951","NAD+ kinase activity","2/133","18/11023",0.0194834146504882,0.392382198234092,0.384792259176932,"evm.model.tig082700000149.167/evm.model.tig082700000127.130",2
"GO:0004707","GO:0004707","MAP kinase activity","2/133","19/11023",0.0216056338799539,0.392382198234092,0.384792259176932,"evm.model.tig082700000122.243/evm.model.tig082700000075.3",2
"GO:0004709","GO:0004709","MAP kinase kinase kinase activity","3/133","51/11023",0.0234758580140055,0.392382198234092,0.384792259176932,"evm.model.tig082700000196.73/evm.model.tig082700000195.136/evm.model.tig082700000067.70",3
"GO:0008408","GO:0008408","3'-5' exonuclease activity","2/133","26/11023",0.0388802196862154,0.5686232129109,0.557624203394405,"evm.model.tig082700000020.609/evm.model.tig082700000212.53",2
"GO:0004527","GO:0004527","exonuclease activity","3/133","81/11023",0.0743733971736966,0.578374068841318,0.567186446277136,"evm.model.tig082700000020.609/evm.model.tig082700000351.16/evm.model.tig082700000195.80",3
"GO:0008168","GO:0008168","methyltransferase activity","5/133","194/11023",0.0855876272615713,0.578374068841318,0.567186446277136,"evm.model.tig082700000136.58/evm.model.tig082700000071.245/evm.model.tig082700000067.198/evm.model.tig082700000217.101/evm.model.tig082700031377.11",5
"GO:0019706","GO:0019706","protein-cysteine S-palmitoyltransferase activity","2/133","42/11023",0.0910422607354445,0.578374068841318,0.567186446277136,"evm.model.tig082700000020.609/evm.model.tig082700000331.1",2
"GO:0004503","GO:0004503","tyrosinase activity","1/133","10/11023",0.114356258959297,0.578374068841318,0.567186446277136,"evm.model.tig082700000020.378",1
"GO:0015386","GO:0015386","potassium:proton antiporter activity","1/133","10/11023",0.114356258959297,0.578374068841318,0.567186446277136,"evm.model.tig082700000156.29",1
"GO:0017070","GO:0017070","U6 snRNA binding","1/133","10/11023",0.114356258959297,0.578374068841318,0.567186446277136,"evm.model.tig082700000128.3",1
"GO:0004016","GO:0004016","adenylate cyclase activity","1/133","11/11023",0.125051856667316,0.578374068841318,0.567186446277136,"evm.model.tig082700000174.171",1
"GO:0008139","GO:0008139","nuclear localization sequence binding","1/133","11/11023",0.125051856667316,0.578374068841318,0.567186446277136,"evm.model.tig082700000116.6",1
"GO:0016671","GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","1/133","11/11023",0.125051856667316,0.578374068841318,0.567186446277136,"evm.model.tig082700000206.17",1
"GO:0016409","GO:0016409","palmitoyltransferase activity","2/133","52/11023",0.12993605937536,0.578374068841318,0.567186446277136,"evm.model.tig082700000020.609/evm.model.tig082700000331.1",2
"GO:0003713","GO:0003713","transcription coactivator activity","1/133","12/11023",0.135619247065359,0.578374068841318,0.567186446277136,"evm.model.tig082700000160.60",1
"GO:0003714","GO:0003714","transcription corepressor activity","1/133","12/11023",0.135619247065359,0.578374068841318,0.567186446277136,"evm.model.tig082700000120.274",1
"GO:0004559","GO:0004559","alpha-mannosidase activity","1/133","12/11023",0.135619247065359,0.578374068841318,0.567186446277136,"evm.model.tig082700000212.53",1
"GO:0030234","GO:0030234","enzyme regulator activity","1/133","12/11023",0.135619247065359,0.578374068841318,0.567186446277136,"evm.model.tig082700000016.598",1
"GO:0034722","GO:0034722","gamma-glutamyl-peptidase activity","1/133","12/11023",0.135619247065359,0.578374068841318,0.567186446277136,"evm.model.tig082700000016.828",1
