"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko05143","ko05143","African trypanosomiasis","4/55","70/4543",0.00976292820195976,0.734657074644724,0.734657074644724,"evm.model.tig082700000253.24/evm.model.tig082700000328.60/evm.model.tig082700000074.53/evm.model.tig082700000127.245",4
"ko01210","ko01210","2-Oxocarboxylic acid metabolism","2/55","17/4543",0.0174226414328478,0.734657074644724,0.734657074644724,"evm.model.tig082700000151.34/evm.model.tig082700000246.10",2
"ko04214","ko04214","Apoptosis - fly","3/55","47/4543",0.018700621952446,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.5/evm.model.tig082700000075.3/evm.model.tig082700000331.36",3
"ko04260","ko04260","Cardiac muscle contraction","2/55","20/4543",0.0237841395823561,0.734657074644724,0.734657074644724,"evm.model.tig082700000127.130/evm.model.tig082700000156.29",2
"ko05140","ko05140","Leishmaniasis","4/55","96/4543",0.0280933273399194,0.734657074644724,0.734657074644724,"evm.model.tig082700000253.24/evm.model.tig082700000074.53/evm.model.tig082700000075.3/evm.model.tig082700000127.245",4
"ko04666","ko04666","Fc gamma R-mediated phagocytosis","3/55","66/4543",0.0449692895439879,0.734657074644724,0.734657074644724,"evm.model.tig082700000328.60/evm.model.tig082700000149.167/evm.model.tig082700000075.3",3
"ko00020","ko00020","Citrate cycle TCA cycle","2/55","33/4543",0.0598357204607771,0.734657074644724,0.734657074644724,"evm.model.tig082700000151.34/evm.model.tig082700000246.10",2
"ko04370","ko04370","VEGF signaling pathway","2/55","34/4543",0.063093793328408,0.734657074644724,0.734657074644724,"evm.model.tig082700000149.167/evm.model.tig082700000075.3",2
"ko05145","ko05145","Toxoplasmosis","3/55","82/4543",0.0761483183871743,0.734657074644724,0.734657074644724,"evm.model.tig082700000147.83/evm.model.tig082700000075.3/evm.model.tig082700000210.31",3
"ko04657","ko04657","IL-17 signaling pathway","2/55","39/4543",0.0802367165575436,0.734657074644724,0.734657074644724,"evm.model.tig082700000122.243/evm.model.tig082700000075.3",2
"ko04810","ko04810","Regulation of actin cytoskeleton","3/55","89/4543",0.0921390243384346,0.734657074644724,0.734657074644724,"evm.model.tig082700000328.60/evm.model.tig082700000075.3/evm.model.tig082700000215.38",3
"ko04914","ko04914","Progesterone-mediated oocyte maturation","3/55","91/4543",0.0969478344490422,0.734657074644724,0.734657074644724,"evm.model.tig082700000071.393/evm.model.tig082700000075.3/evm.model.tig082700000128.205",3
"ko04071","ko04071","Sphingolipid signaling pathway","3/55","92/4543",0.0993905874080829,0.734657074644724,0.734657074644724,"evm.model.tig082700000149.167/evm.model.tig082700000075.3/evm.model.tig082700000215.38",3
"ko04350","ko04350","TGF-beta signaling pathway","2/55","45/4543",0.102453808333195,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000215.38",2
"ko05215","ko05215","Prostate cancer","2/55","47/4543",0.110201936377824,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000128.205",2
"ko04668","ko04668","TNF signaling pathway","2/55","48/4543",0.114133356964161,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000210.31",2
"ko05222","ko05222","Small cell lung cancer","2/55","48/4543",0.114133356964161,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.31/evm.model.tig082700000128.205",2
"ko04215","ko04215","Apoptosis - multiple species","1/55","10/4543",0.114785902524604,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.31",1
"ko04510","ko04510","Focal adhesion","3/55","99/4543",0.117173531636102,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000215.38/evm.model.tig082700000210.31",3
"ko04360","ko04360","Axon guidance","2/55","50/4543",0.122103702989442,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000215.38",2
"ko05226","ko05226","Gastric cancer","2/55","50/4543",0.122103702989442,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000128.205",2
"ko04721","ko04721","Synaptic vesicle cycle","2/55","52/4543",0.130208104818386,0.734657074644724,0.734657074644724,"evm.model.tig082700000139.233/evm.model.tig082700000287.12",2
"ko05150","ko05150","Staphylococcus aureus infection","1/55","13/4543",0.14662502974957,0.734657074644724,0.734657074644724,"evm.model.tig082700000215.38",1
"ko04916","ko04916","Melanogenesis","3/55","110/4543",0.147312875265189,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000075.3/evm.model.tig082700000020.378",3
"ko04137","ko04137","Mitophagy - animal","2/55","57/4543",0.150986031761774,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.5/evm.model.tig082700000128.61",2
"ko05160","ko05160","Hepatitis C","2/55","60/4543",0.163757345065904,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000128.205",2
"ko05161","ko05161","Hepatitis B","2/55","60/4543",0.163757345065904,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000128.205",2
"ko05152","ko05152","Tuberculosis","3/55","116/4543",0.164735424742733,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000149.167/evm.model.tig082700000075.3",3
"ko04960","ko04960","Aldosterone-regulated sodium reabsorption","1/55","15/4543",0.167223622617968,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko05216","ko05216","Thyroid cancer","1/55","15/4543",0.167223622617968,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko03018","ko03018","RNA degradation","2/55","62/4543",0.172378894791721,0.734657074644724,0.734657074644724,"evm.model.tig082700000147.107/evm.model.tig082700000351.16",2
"ko00720","ko00720","Carbon fixation pathways in prokaryotes","1/55","16/4543",0.177339060064084,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.623",1
"ko01200","ko01200","Carbon metabolism","3/55","122/4543",0.18275129324684,0.734657074644724,0.734657074644724,"evm.model.tig082700000151.34/evm.model.tig082700000016.623/evm.model.tig082700000246.10",3
"ko04064","ko04064","NF-kappa B signaling pathway","1/55","17/4543",0.187333836228536,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.31",1
"ko05219","ko05219","Bladder cancer","1/55","17/4543",0.187333836228536,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko05200","ko05200","Pathways in cancer","5/55","254/4543",0.19176379692797,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000075.3/evm.model.tig082700000215.38/evm.model.tig082700000210.31/evm.model.tig082700000128.205",5
"ko04024","ko04024","cAMP signaling pathway","4/55","189/4543",0.194168730795672,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000270.84/evm.model.tig082700000075.3/evm.model.tig082700000215.38",4
"ko04658","ko04658","Th1 and Th2 cell differentiation","1/55","18/4543",0.19720936406933,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko05022","ko05022","Pathways of neurodegeneration - multiple diseases","8/55","470/4543",0.203803009344487,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000120.201/evm.model.tig082700000212.123/evm.model.tig082700031372.89/evm.model.tig082700000075.3/evm.model.tig082700000127.130/evm.model.tig082700000128.61/evm.model.tig082700000096.100",8
"ko00450","ko00450","Selenocompound metabolism","1/55","19/4543",0.206967040307161,0.734657074644724,0.734657074644724,"evm.model.tig082700000120.105",1
"ko04659","ko04659","Th17 cell differentiation","1/55","19/4543",0.206967040307161,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko04072","ko04072","Phospholipase D signaling pathway","2/55","70/4543",0.207538471498727,0.734657074644724,0.734657074644724,"evm.model.tig082700000149.167/evm.model.tig082700000075.3",2
"ko05130","ko05130","Pathogenic Escherichia coli infection","3/55","130/4543",0.207561143905343,0.734657074644724,0.734657074644724,"evm.model.tig082700000328.60/evm.model.tig082700000075.3/evm.model.tig082700000215.38",3
"ko05133","ko05133","Pertussis","2/55","71/4543",0.211992785071147,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000075.3",2
"ko00965","ko00965","Betalain biosynthesis","1/55","20/4543",0.216608245608466,0.734657074644724,0.734657074644724,"evm.model.tig082700000020.378",1
"ko01523","ko01523","Antifolate resistance","2/55","73/4543",0.220930800981488,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.828/evm.model.tig082700000270.84",2
"ko00510","ko00510","N-Glycan biosynthesis","1/55","21/4543",0.226134344766444,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.158",1
"ko04114","ko04114","Oocyte meiosis","4/55","204/4543",0.232551789108332,0.734657074644724,0.734657074644724,"evm.model.tig082700000016.598/evm.model.tig082700000071.393/evm.model.tig082700000075.3/evm.model.tig082700000128.205",4
"ko05206","ko05206","MicroRNAs in cancer","2/55","76/4543",0.234398428348203,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000215.38",2
"ko05131","ko05131","Shigellosis","4/55","205/4543",0.235180038709807,0.734657074644724,0.734657074644724,"evm.model.tig082700000328.60/evm.model.tig082700000075.3/evm.model.tig082700000215.38/evm.model.tig082700000128.61",4
"ko00830","ko00830","Retinol metabolism","1/55","22/4543",0.235546686880077,0.734657074644724,0.734657074644724,"evm.model.tig082700000185.132",1
"ko00900","ko00900","Terpenoid backbone biosynthesis","1/55","22/4543",0.235546686880077,0.734657074644724,0.734657074644724,"evm.model.tig082700000096.347",1
"ko03022","ko03022","Basal transcription factors","1/55","23/4543",0.24484660553117,0.734657074644724,0.734657074644724,"evm.model.tig082700000156.147",1
"ko04062","ko04062","Chemokine signaling pathway","2/55","79/4543",0.247919186403285,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000215.38",2
"ko05169","ko05169","Epstein-Barr virus infection","2/55","79/4543",0.247919186403285,0.734657074644724,0.734657074644724,"evm.model.tig082700031372.89/evm.model.tig082700000128.205",2
"ko00760","ko00760","Nicotinate and nicotinamide metabolism","1/55","25/4543",0.26311443023566,0.734657074644724,0.734657074644724,"evm.model.tig082700000208.61",1
"ko04624","ko04624","Toll and Imd signaling pathway","1/55","25/4543",0.26311443023566,0.734657074644724,0.734657074644724,"evm.model.tig082700000210.31",1
"ko05218","ko05218","Melanoma","1/55","25/4543",0.26311443023566,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3",1
"ko01110","ko01110","Biosynthesis of secondary metabolites","7/55","431/4543",0.26327485479964,0.734657074644724,0.734657074644724,"evm.model.tig082700000303.36/evm.model.tig082700000151.34/evm.model.tig082700000096.347/evm.model.tig082700000020.378/evm.model.tig082700000246.10/evm.model.tig082700000120.105/evm.model.tig082700000140.184",7
"ko01524","ko01524","Platinum drug resistance","2/55","83/4543",0.26599388432148,0.734657074644724,0.734657074644724,"evm.model.tig082700000075.3/evm.model.tig082700000210.31",2
"ko00650","ko00650","Butanoate metabolism","1/55","26/4543",0.27208492743288,0.734657074644724,0.734657074644724,"evm.model.tig082700000096.347",1
