,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
evm.model.tig082700000365.16,1439.342559,-14.30215958,2.151820001,-6.646540869,3.00E-11,1.12E-08
evm.model.tig082700000238.87,854.7492211,-13.55059459,1.859755195,-7.286224891,3.19E-13,2.28E-10
evm.model.tig082700000147.5,550.0710978,-12.9127492,1.659249366,-7.782283643,7.12E-15,8.86E-12
evm.model.tig082700000016.637,414.0767501,-12.50485207,1.890125921,-6.615883063,3.69E-11,1.32E-08
evm.model.tig082700000377.10,338.9226452,-12.21822786,1.396197817,-8.751072171,2.11E-18,1.97E-14
evm.model.tig082700000075.368,336.6378644,-12.20636209,1.678760222,-7.27105749,3.57E-13,2.38E-10
evm.model.tig082700000136.101,307.4512581,-12.07481647,1.942637632,-6.215681334,5.11E-10,1.44E-07
evm.model.tig082700000279.64,302.6830419,-12.05372012,1.606818082,-7.501608462,6.30E-14,5.88E-11
evm.model.tig082700002120.395,285.7965202,-11.96641272,1.381650018,-8.660957962,4.68E-18,2.91E-14
evm.model.tig082700002120.282,284.7723937,-11.96404346,2.882458004,-4.150639295,3.32E-05,0.002232143
evm.model.tig082700000075.361,242.4090334,-11.7321158,1.601822868,-7.324227934,2.40E-13,1.79E-10
evm.model.tig082700000228.81,236.5460259,-11.69738264,1.458701301,-8.019039013,1.07E-15,1.66E-12
evm.model.tig082700000075.565,232.2644346,-11.66912746,1.333444881,-8.75111347,2.11E-18,1.97E-14
evm.model.tig082700000328.85,231.4989331,-11.66879702,1.378498683,-8.464859024,2.56E-17,9.57E-14
evm.model.tig082700031375.6,230.0054517,-11.65299779,1.388446336,-8.392832684,4.75E-17,1.26E-13
evm.model.tig082700000122.3,227.980325,-11.64279439,1.352697868,-8.607091554,7.49E-18,3.49E-14
evm.model.tig082700000428.20,221.4867541,-11.60242964,2.711948729,-4.2782629,1.88E-05,0.001491023
evm.model.tig082700000372.4,198.1517412,-11.43670743,1.580426877,-7.236467308,4.61E-13,2.96E-10
evm.model.tig082700000067.28,168.5175732,-11.20995668,1.372298311,-8.168746252,3.12E-16,5.81E-13
evm.model.tig082700000020.13,164.0779831,-11.16609959,1.781119959,-6.26914517,3.63E-10,1.07E-07
evm.model.tig082700000071.222,163.6413235,-11.16226576,1.328299821,-8.40342337,4.34E-17,1.26E-13
evm.model.tig082700000162.22,162.6324743,-11.160736,1.440663539,-7.74694139,9.41E-15,1.10E-11
evm.model.tig082700000075.477,162.0858904,-11.14954985,1.402041162,-7.95236984,1.83E-15,2.62E-12
evm.model.tig082700000180.42,156.5604874,-11.1003901,2.88637836,-3.845784827,0.000120167,0.006073165
evm.model.tig082700000163.140,149.353881,-11.03492933,1.704025969,-6.475798807,9.43E-11,3.09E-08
evm.model.tig082700000122.158,149.6181035,-11.0335051,1.445312637,-7.633991994,2.28E-14,2.50E-11
evm.model.tig082700000075.343,146.8211997,-11.00840203,1.454965865,-7.566089552,3.85E-14,3.88E-11
evm.model.tig082700002117.265,141.3813036,-10.95409353,1.693044904,-6.470054929,9.80E-11,3.15E-08
evm.model.tig082700000136.52,141.2793679,-10.95250066,1.645118427,-6.657575824,2.78E-11,1.06E-08
evm.model.tig082700000240.54,133.9925029,-10.87492539,1.328580586,-8.185371292,2.71E-16,5.63E-13
evm.model.tig082700002115.25,132.1787703,-10.85909157,1.516333697,-7.161412816,7.98E-13,4.51E-10
evm.model.tig082700000174.11,130.3763043,-10.84236298,1.389566207,-7.802696211,6.06E-15,8.07E-12
evm.model.tig082700000075.513,127.8442228,-10.81063986,2.594134631,-4.167339554,3.08E-05,0.002108828
evm.model.tig082700000127.292,128.3499875,-10.80856236,1.537581891,-7.029584848,2.07E-12,1.07E-09
evm.model.tig082700000016.432,124.2819367,-10.76282194,1.578998241,-6.81623428,9.35E-12,4.05E-09
evm.model.tig082700000120.309,116.6768782,-10.67634741,1.43653123,-7.432032933,1.07E-13,9.07E-11
evm.model.tig082700000289.66,115.7029519,-10.66619762,1.623877984,-6.568349177,5.09E-11,1.79E-08
evm.model.tig082700031372.161,114.4643297,-10.64228997,1.607964283,-6.618486541,3.63E-11,1.32E-08
evm.model.tig082700000206.75,109.2788467,-10.58565087,1.930695391,-5.482817706,4.19E-08,8.05E-06
evm.model.tig082700000020.390,103.1150372,-10.50080328,1.442092141,-7.281645175,3.30E-13,2.28E-10
evm.model.tig082700000360.13,95.53491759,-10.39275077,1.374219656,-7.562656179,3.95E-14,3.88E-11
evm.model.tig082700000338.10,95.92329417,-10.38994097,1.63098247,-6.370357233,1.89E-10,5.86E-08
evm.model.tig082700000125.247,91.41052521,-10.33043787,1.667829877,-6.193939811,5.87E-10,1.63E-07
evm.model.tig082700000016.733,89.73371005,-10.3007265,1.395186403,-7.383046791,1.55E-13,1.25E-10
evm.model.tig082700000175.207,87.93463061,-10.27572006,1.497171598,-6.863421719,6.72E-12,3.13E-09
evm.model.tig082700002120.51,87.39422373,-10.26205444,1.446501549,-7.094395752,1.30E-12,6.92E-10
evm.model.tig082700000020.442,86.49372788,-10.24524414,2.94218779,-3.482185662,0.000497339,0.018439106
evm.model.tig082700000071.420,84.92809524,-10.22128391,2.603069846,-3.926626833,8.61E-05,0.00478133
