"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","GO:0006412","translation","47/307","235/10119",7.30334939906028e-26,1.31460289183085e-23,1.16853590384964e-23,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000127.77/evm.model.tig082700000221.39/evm.model.tig082700000153.307/evm.model.tig082700000120.214/evm.model.tig082700000155.26/evm.model.tig082700000132.120/evm.model.tig082700000075.117/evm.model.tig082700000071.192/evm.model.tig082700000258.86/evm.model.tig082700000125.264/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000139.164/evm.model.tig082700000075.17/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000310.24/evm.model.tig082700000419.15/evm.model.tig082700000153.24/evm.model.tig082700000208.41/evm.model.tig082700000287.11/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000426.10/evm.model.tig082700000075.28/evm.model.tig082700000122.341/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.85/evm.model.tig082700000156.39/evm.model.tig082700000160.19/evm.model.tig082700000208.31/evm.model.tig082700000215.41/evm.model.tig082700000128.68/evm.model.tig082700000127.78/evm.model.tig082700000075.393/evm.model.tig082700000196.40/evm.model.tig082700000128.206/evm.model.tig082700000444.1/evm.model.tig082700000196.36/evm.model.tig082700000113.305",47
"GO:0002181","GO:0002181","cytoplasmic translation","8/307","21/10119",9.45488171283463e-08,6.78002040606797e-06,6.02668480539375e-06,"evm.model.tig082700000377.53/evm.model.tig082700000139.164/evm.model.tig082700000106.49/evm.model.tig082700000208.12/evm.model.tig082700000353.28/evm.model.tig082700000106.66/evm.model.tig082700000113.167/evm.model.tig082700000426.5",8
"GO:0006457","GO:0006457","protein folding","17/307","120/10119",1.13000340101133e-07,6.78002040606797e-06,6.02668480539375e-06,"evm.model.tig082700031372.165/evm.model.tig082700000210.74/evm.model.tig082700000111.394/evm.model.tig082700000195.87/evm.model.tig082700000127.40/evm.model.tig082700000259.38/evm.model.tig082700000132.333/evm.model.tig082700000132.57/evm.model.tig082700000139.231/evm.model.tig082700000259.119/evm.model.tig082700031385.8/evm.model.tig082700000016.67/evm.model.tig082700000116.234/evm.model.tig082700000175.96/evm.model.tig082700000227.57/evm.model.tig082700000127.41/evm.model.tig082700000151.259",17
"GO:0006414","GO:0006414","translational elongation","9/307","51/10119",1.91867501144876e-05,0.000863403755151941,0.000767470004579503,"evm.model.tig082700000122.3/evm.model.tig082700000132.120/evm.model.tig082700000075.117/evm.model.tig082700000258.86/evm.model.tig082700000208.12/evm.model.tig082700000353.28/evm.model.tig082700000153.24/evm.model.tig082700000122.341/evm.model.tig082700000215.85",9
"GO:0000028","GO:0000028","ribosomal small subunit assembly","4/307","10/10119",0.000150975112468079,0.00543510404885084,0.00483120359897852,"evm.model.tig082700000296.33/evm.model.tig082700000139.164/evm.model.tig082700000106.385/evm.model.tig082700000128.206",4
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","10/307","88/10119",0.000316949386305509,0.0087241862856053,0.00775483225387138,"evm.model.tig082700000180.181/evm.model.tig082700002117.359/evm.model.tig082700000310.32/evm.model.tig082700002115.34/evm.model.tig082700000180.178/evm.model.tig082700000305.12/evm.model.tig082700000310.5/evm.model.tig082700000136.130/evm.model.tig082700000497.4/evm.model.tig082700000178.191",10
"GO:0022900","GO:0022900","electron transport chain","5/307","21/10119",0.000339273911106873,0.0087241862856053,0.00775483225387138,"evm.model.tig082700000427.5/evm.model.tig082700000287.13/evm.model.tig082700000127.97/evm.model.tig082700000140.131/evm.model.tig082700000106.123",5
"GO:0006635","GO:0006635","fatty acid beta-oxidation","4/307","14/10119",0.000653566798051205,0.0146959753740928,0.0130630892214158,"evm.model.tig082700000279.44/evm.model.tig082700000353.42/evm.model.tig082700000246.27/evm.model.tig082700000175.168",4
"GO:0042254","GO:0042254","ribosome biogenesis","8/307","65/10119",0.000734798768704639,0.0146959753740928,0.0130630892214158,"evm.model.tig082700000106.66/evm.model.tig082700000184.65/evm.model.tig082700000227.118/evm.model.tig082700000156.39/evm.model.tig082700000195.145/evm.model.tig082700000128.206/evm.model.tig082700000016.853/evm.model.tig082700000113.305",8
"GO:0000027","GO:0000027","ribosomal large subunit assembly","4/307","18/10119",0.00181516732125031,0.0326730117825056,0.0290426771400049,"evm.model.tig082700000120.214/evm.model.tig082700000020.606/evm.model.tig082700000106.66/evm.model.tig082700000113.305",4
"GO:0070212","GO:0070212","protein poly-ADP-ribosylation","3/307","10/10119",0.00283180930280857,0.046338697682322,0.0411899534953974,"evm.model.tig082700002117.551/evm.model.tig082700000160.160/evm.model.tig082700000127.168",3
