"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","44/331","186/11113",1.07333956609559e-27,9.33805422503166e-26,7.0049529576765e-26,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000127.77/evm.model.tig082700000221.39/evm.model.tig082700000153.307/evm.model.tig082700000120.214/evm.model.tig082700000155.26/evm.model.tig082700000132.120/evm.model.tig082700000071.192/evm.model.tig082700000125.264/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000139.164/evm.model.tig082700000075.17/evm.model.tig082700000210.74/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000111.394/evm.model.tig082700000156.36/evm.model.tig082700000208.12/evm.model.tig082700000310.24/evm.model.tig082700000353.28/evm.model.tig082700000419.15/evm.model.tig082700000283.64/evm.model.tig082700000106.66/evm.model.tig082700000208.41/evm.model.tig082700000287.11/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000426.10/evm.model.tig082700031372.31/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.85/evm.model.tig082700000156.39/evm.model.tig082700000160.19/evm.model.tig082700000215.41/evm.model.tig082700000127.78/evm.model.tig082700000128.206/evm.model.tig082700000444.1/evm.model.tig082700000113.305",44
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","17/331","40/11113",3.62467963590917e-16,1.57673564162049e-14,1.18279019698089e-14,"evm.model.tig082700000120.214/evm.model.tig082700000125.264/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000208.12/evm.model.tig082700000353.28/evm.model.tig082700000419.15/evm.model.tig082700000283.64/evm.model.tig082700000106.66/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000215.85/evm.model.tig082700000156.39",17
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","15/331","33/11113",6.006351098325e-15,1.74184181851425e-13,1.30664480033737e-13,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000155.26/evm.model.tig082700000071.192/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000139.164/evm.model.tig082700000310.24/evm.model.tig082700031372.31/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.41/evm.model.tig082700000128.68/evm.model.tig082700000127.78/evm.model.tig082700000128.206",15
"GO:0015935","GO:0015935","small ribosomal subunit","7/331","22/11113",2.26391137419351e-06,4.92400723887088e-05,3.69375013684204e-05,"evm.model.tig082700000296.33/evm.model.tig082700000221.39/evm.model.tig082700000139.164/evm.model.tig082700000310.24/evm.model.tig082700000426.10/evm.model.tig082700000127.78/evm.model.tig082700000444.1",7
"GO:0005829","GO:0005829","cytosol","31/331","428/11113",4.23853602143489e-06,7.37505267729671e-05,5.5324049121887e-05,"evm.model.tig082700000136.101/evm.model.tig082700000221.39/evm.model.tig082700000071.192/evm.model.tig082700000381.16/evm.model.tig082700000020.606/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000111.394/evm.model.tig082700000419.15/evm.model.tig082700000153.24/evm.model.tig082700000208.41/evm.model.tig082700000426.5/evm.model.tig082700000016.906/evm.model.tig082700000253.17/evm.model.tig082700000127.112/evm.model.tig082700000426.10/evm.model.tig082700000075.28/evm.model.tig082700000616.9/evm.model.tig082700000322.59/evm.model.tig082700000259.119/evm.model.tig082700000223.64/evm.model.tig082700000016.703/evm.model.tig082700000287.19/evm.model.tig082700000149.30/evm.model.tig082700000120.45/evm.model.tig082700000127.41/evm.model.tig082700000127.78/evm.model.tig082700000075.393/evm.model.tig082700000128.249/evm.model.tig082700000075.60/evm.model.tig082700000196.36",31
"GO:0000786","GO:0000786","nucleosome","5/331","19/11113",0.00018741248361969,0.00271748101248551,0.00203852175165277,"evm.model.tig082700000128.51/evm.model.tig082700000151.129/evm.model.tig082700000132.201/evm.model.tig082700000151.130/evm.model.tig082700000075.324",5
"GO:0015934","GO:0015934","large ribosomal subunit","4/331","14/11113",0.000610530394381308,0.00663951803889673,0.00498064269100541,"evm.model.tig082700000125.264/evm.model.tig082700000106.49/evm.model.tig082700000113.167/evm.model.tig082700000253.17",4
"GO:0070469","GO:0070469","respirasome","4/331","14/11113",0.000610530394381308,0.00663951803889673,0.00498064269100541,"evm.model.tig082700000427.5/evm.model.tig082700000127.97/evm.model.tig082700000140.131/evm.model.tig082700000106.123",4
"GO:0005681","GO:0005681","spliceosomal complex","7/331","58/11113",0.00159150649858017,0.0153845628196083,0.011540748878593,"evm.model.tig082700000180.181/evm.model.tig082700002117.359/evm.model.tig082700000310.32/evm.model.tig082700000287.41/evm.model.tig082700000180.178/evm.model.tig082700000310.5/evm.model.tig082700000178.191",7
"GO:0005930","GO:0005930","axoneme","6/331","50/11113",0.003514008297423,0.0305718721875801,0.0229335278358133,"evm.model.tig082700000206.75/evm.model.tig082700002120.51/evm.model.tig082700000106.331/evm.model.tig082700000175.25/evm.model.tig082700000153.193/evm.model.tig082700000167.144",6
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","3/331","13/11113",0.00599694374374348,0.0474303732459712,0.0355799533121623,"evm.model.tig082700000127.97/evm.model.tig082700000106.123/evm.model.tig082700000178.20",3
