"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","40/319","134/11023",5.07187002456406e-30,8.82505384274146e-28,8.16838014482422e-28,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000127.77/evm.model.tig082700000221.39/evm.model.tig082700000153.307/evm.model.tig082700000120.214/evm.model.tig082700000155.26/evm.model.tig082700000071.192/evm.model.tig082700000125.264/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000139.164/evm.model.tig082700000075.17/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000208.12/evm.model.tig082700000310.24/evm.model.tig082700000353.28/evm.model.tig082700000419.15/evm.model.tig082700000283.64/evm.model.tig082700000106.66/evm.model.tig082700000208.41/evm.model.tig082700000287.11/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000426.10/evm.model.tig082700031372.31/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.85/evm.model.tig082700000156.39/evm.model.tig082700000215.41/evm.model.tig082700000127.78/evm.model.tig082700000128.206/evm.model.tig082700000444.1/evm.model.tig082700000113.305",40
"GO:0003723","GO:0003723","RNA binding","37/319","440/11023",4.56727798390108e-09,3.97353184599394e-07,3.67786069229929e-07,"evm.model.tig082700000279.64/evm.model.tig082700000180.181/evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000221.39/evm.model.tig082700000120.214/evm.model.tig082700000132.120/evm.model.tig082700000127.154/evm.model.tig082700000125.264/evm.model.tig082700000187.92/evm.model.tig082700000020.606/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000153.37/evm.model.tig082700000310.24/evm.model.tig082700000283.64/evm.model.tig082700000020.624/evm.model.tig082700000328.18/evm.model.tig082700000113.167/evm.model.tig082700000016.906/evm.model.tig082700000426.10/evm.model.tig082700000075.28/evm.model.tig082700000310.32/evm.model.tig082700002115.34/evm.model.tig082700000071.49/evm.model.tig082700000180.178/evm.model.tig082700000349.37/evm.model.tig082700000305.12/evm.model.tig082700000310.5/evm.model.tig082700000127.78/evm.model.tig082700000132.121/evm.model.tig082700000444.1/evm.model.tig082700000016.853/evm.model.tig082700000071.48/evm.model.tig082700000497.4/evm.model.tig082700000272.31/evm.model.tig082700000178.191",37
"GO:0051082","GO:0051082","unfolded protein binding","13/319","76/11023",2.31607187315701e-07,1.34332168643106e-05,1.24336490032639e-05,"evm.model.tig082700000210.74/evm.model.tig082700000111.394/evm.model.tig082700000113.294/evm.model.tig082700000195.87/evm.model.tig082700000127.40/evm.model.tig082700000223.17/evm.model.tig082700000132.333/evm.model.tig082700000132.57/evm.model.tig082700000259.119/evm.model.tig082700031385.8/evm.model.tig082700000175.96/evm.model.tig082700000227.57/evm.model.tig082700000127.41",13
"GO:0003729","GO:0003729","mRNA binding","12/319","85/11023",5.55529241215781e-06,0.000241655219928865,0.000223673615542144,"evm.model.tig082700000296.33/evm.model.tig082700000020.606/evm.model.tig082700000328.18/evm.model.tig082700000253.17/evm.model.tig082700000075.28/evm.model.tig082700000287.41/evm.model.tig082700002115.34/evm.model.tig082700000349.37/evm.model.tig082700000305.12/evm.model.tig082700000128.68/evm.model.tig082700000128.206/evm.model.tig082700000016.853",12
"GO:0019843","GO:0019843","rRNA binding","8/319","39/11023",1.26700386447602e-05,0.000440917344837655,0.000408108613189118,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000120.214/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000310.24/evm.model.tig082700000113.167/evm.model.tig082700000113.305",8
"GO:0016874","GO:0016874","ligase activity","19/319","311/11023",0.00175692197336306,0.0430937420010093,0.0398871296198089,"evm.model.tig082700000122.3/evm.model.tig082700000175.207/evm.model.tig082700000075.314/evm.model.tig082700000292.69/evm.model.tig082700000136.294/evm.model.tig082700000075.34/evm.model.tig082700000122.178/evm.model.tig082700000140.246/evm.model.tig082700000160.19/evm.model.tig082700000383.33/evm.model.tig082700000208.31/evm.model.tig082700000075.393/evm.model.tig082700000122.302/evm.model.tig082700000240.32/evm.model.tig082700000132.121/evm.model.tig082700000075.60/evm.model.tig082700000071.48/evm.model.tig082700000270.52/evm.model.tig082700000351.29",19
"GO:0046982","GO:0046982","protein heterodimerization activity","5/319","31/11023",0.0017997513981685,0.0430937420010093,0.0398871296198089,"evm.model.tig082700000128.51/evm.model.tig082700000151.129/evm.model.tig082700000132.201/evm.model.tig082700000151.130/evm.model.tig082700000075.324",5
"GO:0003746","GO:0003746","translation elongation factor activity","6/319","48/11023",0.00246979571566384,0.0430937420010093,0.0398871296198089,"evm.model.tig082700000122.3/evm.model.tig082700000132.120/evm.model.tig082700000075.117/evm.model.tig082700000258.86/evm.model.tig082700000153.24/evm.model.tig082700000122.341",6
"GO:0017070","GO:0017070","U6 snRNA binding","3/319","10/11023",0.00247665183913846,0.0430937420010093,0.0398871296198089,"evm.model.tig082700000180.181/evm.model.tig082700000020.624/evm.model.tig082700000180.178",3
"GO:1990404","GO:1990404","NAD+-protein ADP-ribosyltransferase activity","3/319","10/11023",0.00247665183913846,0.0430937420010093,0.0398871296198089,"evm.model.tig082700002117.551/evm.model.tig082700000160.160/evm.model.tig082700000127.168",3
