"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko03010","ko03010","Ribosome","39/188","116/4543",1.73349684535955e-26,3.77902312288382e-24,3.72245638371945e-24,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000127.77/evm.model.tig082700000221.39/evm.model.tig082700000153.307/evm.model.tig082700000120.214/evm.model.tig082700000155.26/evm.model.tig082700000071.192/evm.model.tig082700000125.264/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000139.164/evm.model.tig082700000075.17/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000208.12/evm.model.tig082700000310.24/evm.model.tig082700000353.28/evm.model.tig082700000419.15/evm.model.tig082700000283.64/evm.model.tig082700000106.66/evm.model.tig082700000208.41/evm.model.tig082700000287.11/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000426.10/evm.model.tig082700031372.31/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.85/evm.model.tig082700000156.39/evm.model.tig082700000215.41/evm.model.tig082700000127.78/evm.model.tig082700000128.206/evm.model.tig082700000444.1",39
"ko05171","ko05171","Coronavirus disease - COVID-19","37/188","123/4543",3.54012672611241e-23,3.85873813146253e-21,3.80097816908912e-21,"evm.model.tig082700000296.33/evm.model.tig082700000127.160/evm.model.tig082700000127.77/evm.model.tig082700000153.307/evm.model.tig082700000120.214/evm.model.tig082700000155.26/evm.model.tig082700000071.192/evm.model.tig082700000125.264/evm.model.tig082700000174.196/evm.model.tig082700000071.474/evm.model.tig082700000377.53/evm.model.tig082700000020.606/evm.model.tig082700000139.164/evm.model.tig082700000075.17/evm.model.tig082700000174.33/evm.model.tig082700000106.49/evm.model.tig082700000156.36/evm.model.tig082700000208.12/evm.model.tig082700000310.24/evm.model.tig082700000353.28/evm.model.tig082700000419.15/evm.model.tig082700000283.64/evm.model.tig082700000106.66/evm.model.tig082700000208.41/evm.model.tig082700000113.167/evm.model.tig082700000426.5/evm.model.tig082700000253.17/evm.model.tig082700000426.10/evm.model.tig082700031372.31/evm.model.tig082700000353.24/evm.model.tig082700000106.385/evm.model.tig082700000215.85/evm.model.tig082700000174.231/evm.model.tig082700000156.39/evm.model.tig082700000215.41/evm.model.tig082700000127.78/evm.model.tig082700000128.206",37
"ko00190","ko00190","Oxidative phosphorylation","12/188","58/4543",2.97729199835975e-06,0.000216349885214142,0.000213111427251013,"evm.model.tig082700000427.5/evm.model.tig082700000287.13/evm.model.tig082700000238.50/evm.model.tig082700000156.65/evm.model.tig082700000151.102/evm.model.tig082700000122.333/evm.model.tig082700000140.131/evm.model.tig082700000106.123/evm.model.tig082700000178.20/evm.model.tig082700000020.213/evm.model.tig082700000331.12/evm.model.tig082700000106.247",12
"ko05322","ko05322","Systemic lupus erythematosus","6/188","22/4543",0.000198649371304408,0.0108263907360902,0.0106643346700261,"evm.model.tig082700000128.51/evm.model.tig082700000151.129/evm.model.tig082700000132.201/evm.model.tig082700000151.130/evm.model.tig082700000020.624/evm.model.tig082700000075.324",6
"ko00071","ko00071","Fatty acid degradation","5/188","32/4543",0.00932298282531835,0.40154410997708,0.39553355111214,"evm.model.tig082700000287.69/evm.model.tig082700000246.27/evm.model.tig082700000383.33/evm.model.tig082700000175.168/evm.model.tig082700000251.72",5
"ko04612","ko04612","Antigen processing and presentation","8/188","75/4543",0.0116246575580191,0.40154410997708,0.39553355111214,"evm.model.tig082700000160.67/evm.model.tig082700000210.74/evm.model.tig082700000132.21/evm.model.tig082700000111.394/evm.model.tig082700000113.294/evm.model.tig082700000301.10/evm.model.tig082700000167.150/evm.model.tig082700000167.128",8
"ko05014","ko05014","Amyotrophic lateral sclerosis","22/188","323/4543",0.01312946239672,0.40154410997708,0.39553355111214,"evm.model.tig082700000283.9/evm.model.tig082700000071.488/evm.model.tig082700000427.5/evm.model.tig082700000287.13/evm.model.tig082700000113.70/evm.model.tig082700000151.102/evm.model.tig082700000387.8/evm.model.tig082700000140.131/evm.model.tig082700000132.75/evm.model.tig082700000322.59/evm.model.tig082700002115.34/evm.model.tig082700000208.26/evm.model.tig082700000106.123/evm.model.tig082700000178.20/evm.model.tig082700000225.1/evm.model.tig082700031372.128/evm.model.tig082700000149.260/evm.model.tig082700000127.248/evm.model.tig082700000219.37/evm.model.tig082700000106.405/evm.model.tig082700000322.41/evm.model.tig082700000106.247",22
"ko01212","ko01212","Fatty acid metabolism","6/188","49/4543",0.0147355636688837,0.40154410997708,0.39553355111214,"evm.model.tig082700000279.44/evm.model.tig082700000246.27/evm.model.tig082700000383.33/evm.model.tig082700000175.168/evm.model.tig082700000151.98/evm.model.tig082700000251.72",6
"ko04624","ko04624","Toll and Imd signaling pathway","4/188","25/4543",0.0181651723560864,0.440000841514094,0.433414638671536,"evm.model.tig082700000162.22/evm.model.tig082700000393.9/evm.model.tig082700000444.14/evm.model.tig082700000155.34",4
"ko00720","ko00720","Carbon fixation pathways in prokaryotes","3/188","16/4543",0.0262326967978317,0.571872790192731,0.563312647027123,"evm.model.tig082700000187.56/evm.model.tig082700000127.112/evm.model.tig082700000175.168",3
