"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000165","GO:0000165","MAPK cascade","4/84","75/10119",0.00343331058684805,0.305564642229477,0.305564642229477,"evm.model.tig082700000195.136/evm.model.tig082700000196.89/evm.model.tig082700000122.243/evm.model.tig082700000196.73",4
"GO:0035725","GO:0035725","sodium ion transmembrane transport","2/84","21/10119",0.0129087086980122,0.384620130035726,0.384620130035726,"evm.model.tig082700000287.12/evm.model.tig082700000156.29",2
"GO:0000413","GO:0000413","protein peptidyl-prolyl isomerization","2/84","42/10119",0.0473306119871378,0.384620130035726,0.384620130035726,"evm.model.tig082700000185.107/evm.model.tig082700000175.73",2
"GO:1902600","GO:1902600","proton transmembrane transport","2/84","56/10119",0.078646551286615,0.384620130035726,0.384620130035726,"evm.model.tig082700000156.29/evm.model.tig082700002117.562",2
"GO:0000467","GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/84","10/10119",0.0800131233831589,0.384620130035726,0.384620130035726,"evm.model.tig082700000351.16",1
"GO:0010564","GO:0010564","regulation of cell cycle process","1/84","10/10119",0.0800131233831589,0.384620130035726,0.384620130035726,"evm.model.tig082700000219.42",1
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","1/84","10/10119",0.0800131233831589,0.384620130035726,0.384620130035726,"evm.model.tig082700000296.23",1
"GO:0098719","GO:0098719","sodium ion import across plasma membrane","1/84","10/10119",0.0800131233831589,0.384620130035726,0.384620130035726,"evm.model.tig082700000156.29",1
"GO:0006464","GO:0006464","cellular protein modification process","4/84","202/10119",0.0869686697547383,0.384620130035726,0.384620130035726,"evm.model.tig082700000167.166/evm.model.tig082700000067.63/evm.model.tig082700000136.58/evm.model.tig082700000254.59",4
"GO:0006479","GO:0006479","protein methylation","1/84","11/10119",0.0876576873989683,0.384620130035726,0.384620130035726,"evm.model.tig082700000136.58",1
"GO:0006817","GO:0006817","phosphate ion transport","1/84","11/10119",0.0876576873989683,0.384620130035726,0.384620130035726,"evm.model.tig082700000196.57",1
"GO:0019985","GO:0019985","translesion synthesis","1/84","11/10119",0.0876576873989683,0.384620130035726,0.384620130035726,"evm.model.tig082700000215.38",1
"GO:0044267","GO:0044267","cellular protein metabolic process","1/84","11/10119",0.0876576873989683,0.384620130035726,0.384620130035726,"evm.model.tig082700000136.58",1
"GO:0006906","GO:0006906","vesicle fusion","1/84","12/10119",0.095239479470445,0.384620130035726,0.384620130035726,"evm.model.tig082700000139.233",1
"GO:0051453","GO:0051453","regulation of intracellular pH","1/84","12/10119",0.095239479470445,0.384620130035726,0.384620130035726,"evm.model.tig082700000156.29",1
"GO:0006284","GO:0006284","base-excision repair","1/84","13/10119",0.10275900887823,0.384620130035726,0.384620130035726,"evm.model.tig082700002120.252",1
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","1/84","13/10119",0.10275900887823,0.384620130035726,0.384620130035726,"evm.model.tig082700000210.5",1
"GO:0010629","GO:0010629","negative regulation of gene expression","1/84","13/10119",0.10275900887823,0.384620130035726,0.384620130035726,"evm.model.tig082700000120.274",1
"GO:0045292","GO:0045292","mRNA cis splicing, via spliceosome","1/84","13/10119",0.10275900887823,0.384620130035726,0.384620130035726,"evm.model.tig082700000128.3",1
"GO:0098656","GO:0098656","anion transmembrane transport","1/84","13/10119",0.10275900887823,0.384620130035726,0.384620130035726,"evm.model.tig082700000156.29",1
"GO:0000470","GO:0000470","maturation of LSU-rRNA","1/84","15/10119",0.117613296448078,0.384620130035726,0.384620130035726,"evm.model.tig082700000162.99",1
"GO:0035404","GO:0035404","histone-serine phosphorylation","1/84","15/10119",0.117613296448078,0.384620130035726,0.384620130035726,"evm.model.tig082700000071.393",1
"GO:0000387","GO:0000387","spliceosomal snRNP assembly","1/84","16/10119",0.124949052890909,0.384620130035726,0.384620130035726,"evm.model.tig082700000128.3",1
"GO:0043409","GO:0043409","negative regulation of MAPK cascade","1/84","16/10119",0.124949052890909,0.384620130035726,0.384620130035726,"evm.model.tig082700002120.400",1
"GO:0050896","GO:0050896","response to stimulus","1/84","17/10119",0.132224543295459,0.384620130035726,0.384620130035726,"evm.model.tig082700000196.57",1
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","3/84","155/10119",0.137865936878025,0.384620130035726,0.384620130035726,"evm.model.tig082700000195.80/evm.model.tig082700000351.16/evm.model.tig082700000212.53",3
