"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005887","GO:0005887","integral component of plasma membrane","3/101","88/11113",0.0459171055901617,0.379134628427185,0.379134628427185,"evm.model.tig082700000287.12/evm.model.tig082700000174.171/evm.model.tig082700000228.60",3
"GO:0000178","GO:0000178","exosome (RNase complex)","1/101","10/11113",0.0872901341854162,0.379134628427185,0.379134628427185,"evm.model.tig082700000351.16",1
"GO:0019773","GO:0019773","proteasome core complex, alpha-subunit complex","1/101","10/11113",0.0872901341854162,0.379134628427185,0.379134628427185,"evm.model.tig082700031375.22",1
"GO:0000974","GO:0000974","Prp19 complex","1/101","11/11113",0.0955927277589795,0.379134628427185,0.379134628427185,"evm.model.tig082700000128.3",1
"GO:0031201","GO:0031201","SNARE complex","1/101","14/11113",0.120054462350995,0.379134628427185,0.379134628427185,"evm.model.tig082700000139.233",1
"GO:0031616","GO:0031616","spindle pole centrosome","1/101","14/11113",0.120054462350995,0.379134628427185,0.379134628427185,"evm.model.tig082700000071.393",1
"GO:0031966","GO:0031966","mitochondrial membrane","1/101","14/11113",0.120054462350995,0.379134628427185,0.379134628427185,"evm.model.tig082700002117.562",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/101","16/11113",0.135997176392723,0.379134628427185,0.379134628427185,"evm.model.tig082700000075.158",1
"GO:0005876","GO:0005876","spindle microtubule","1/101","17/11113",0.143860949050589,0.379134628427185,0.379134628427185,"evm.model.tig082700000071.393",1
"GO:0032133","GO:0032133","chromosome passenger complex","1/101","17/11113",0.143860949050589,0.379134628427185,0.379134628427185,"evm.model.tig082700000071.393",1
"GO:0005839","GO:0005839","proteasome core complex","1/101","18/11113",0.151653851370874,0.379134628427185,0.379134628427185,"evm.model.tig082700031375.22",1
"GO:0051233","GO:0051233","spindle midzone","1/101","18/11113",0.151653851370874,0.379134628427185,0.379134628427185,"evm.model.tig082700000071.393",1
"GO:0005776","GO:0005776","autophagosome","2/101","104/11113",0.243882762262073,0.551853007018298,0.551853007018298,"evm.model.tig082700000120.201/evm.model.tig082700000071.393",2
"GO:0000151","GO:0000151","ubiquitin ligase complex","1/101","33/11113",0.260459960517883,0.551853007018298,0.551853007018298,"evm.model.tig082700000215.122",1
"GO:0042995","GO:0042995","cell projection","2/101","122/11113",0.304567845231975,0.551853007018298,0.551853007018298,"evm.model.tig082700000067.63/evm.model.tig082700000212.123",2
"GO:0005759","GO:0005759","mitochondrial matrix","1/101","40/11113",0.306390089604239,0.551853007018298,0.551853007018298,"evm.model.tig082700000296.23",1
"GO:0005802","GO:0005802","trans-Golgi network","1/101","41/11113",0.312716703977036,0.551853007018298,0.551853007018298,"evm.model.tig082700000195.112",1
"GO:0005575","GO:0005575","cellular_component","1/101","50/11113",0.3671452795677,0.60375262782628,0.60375262782628,"evm.model.tig082700000113.281",1
"GO:0000502","GO:0000502","proteasome complex","1/101","56/11113",0.401037119567869,0.60375262782628,0.60375262782628,"evm.model.tig082700031375.22",1
"GO:0005681","GO:0005681","spliceosomal complex","1/101","58/11113",0.41193006798242,0.60375262782628,0.60375262782628,"evm.model.tig082700000140.111",1
"GO:0005654","GO:0005654","nucleoplasm","1/101","60/11113",0.422626839478396,0.60375262782628,0.60375262782628,"evm.model.tig082700000331.11",1
"GO:0012505","GO:0012505","endomembrane system","1/101","69/11113",0.468426985008503,0.604089754052301,0.604089754052301,"evm.model.tig082700000139.233",1
"GO:0005794","GO:0005794","Golgi apparatus","2/101","175/11113",0.474365319076677,0.604089754052301,0.604089754052301,"evm.model.tig082700000195.112/evm.model.tig082700000331.1",2
"GO:0005929","GO:0005929","cilium","2/101","178/11113",0.483271803241841,0.604089754052301,0.604089754052301,"evm.model.tig082700000308.52/evm.model.tig082700000067.63",2
"GO:0005813","GO:0005813","centrosome","1/101","108/11113",0.628735519136094,0.754482622963313,0.754482622963313,"evm.model.tig082700000071.393",1
"GO:0005783","GO:0005783","endoplasmic reticulum","2/101","263/11113",0.694452068700915,0.801290848501055,0.801290848501055,"evm.model.tig082700000331.1/evm.model.tig082700000075.158",2
"GO:0005730","GO:0005730","nucleolus","1/101","150/11113",0.748121378424454,0.806096960037954,0.806096960037954,"evm.model.tig082700000162.99",1
"GO:0005829","GO:0005829","cytosol","3/101","428/11113",0.75235716270209,0.806096960037954,0.806096960037954,"evm.model.tig082700000120.121/evm.model.tig082700000195.112/evm.model.tig082700000016.678",3
"GO:0005576","GO:0005576","extracellular region","1/101","219/11113",0.867269712904137,0.873310584408705,0.873310584408705,"evm.model.tig082700000020.378",1
"GO:0110165","GO:0110165","cellular anatomical entity","1/101","224/11113",0.873310584408705,0.873310584408705,0.873310584408705,"evm.model.tig082700000020.378",1
