"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004709","GO:0004709","MAP kinase kinase kinase activity","3/99","51/11023",0.0107153989763805,0.459948476945341,0.459948476945341,"evm.model.tig082700000195.136/evm.model.tig082700000196.89/evm.model.tig082700000196.73",3
"GO:0003755","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","2/99","42/11023",0.0545054961344067,0.459948476945341,0.459948476945341,"evm.model.tig082700000185.107/evm.model.tig082700000175.73",2
"GO:0004503","GO:0004503","tyrosinase activity","1/99","10/11023",0.0863018119211053,0.459948476945341,0.459948476945341,"evm.model.tig082700000020.378",1
"GO:0015386","GO:0015386","potassium:proton antiporter activity","1/99","10/11023",0.0863018119211053,0.459948476945341,0.459948476945341,"evm.model.tig082700000156.29",1
"GO:0017070","GO:0017070","U6 snRNA binding","1/99","10/11023",0.0863018119211053,0.459948476945341,0.459948476945341,"evm.model.tig082700000128.3",1
"GO:0004016","GO:0004016","adenylate cyclase activity","1/99","11/11023",0.0945153886594884,0.459948476945341,0.459948476945341,"evm.model.tig082700000174.171",1
"GO:0008139","GO:0008139","nuclear localization sequence binding","1/99","11/11023",0.0945153886594884,0.459948476945341,0.459948476945341,"evm.model.tig082700000116.6",1
"GO:0008168","GO:0008168","methyltransferase activity","4/99","194/11023",0.097008985135401,0.459948476945341,0.459948476945341,"evm.model.tig082700000277.52/evm.model.tig082700000067.198/evm.model.tig082700000136.58/evm.model.tig082700000071.245",4
"GO:0016757","GO:0016757","glycosyltransferase activity","3/99","124/11023",0.100500507669563,0.459948476945341,0.459948476945341,"evm.model.tig082700000217.28/evm.model.tig082700000303.36/evm.model.tig082700000120.274",3
"GO:0003714","GO:0003714","transcription corepressor activity","1/99","12/11023",0.10265586963685,0.459948476945341,0.459948476945341,"evm.model.tig082700000120.274",1
"GO:0004559","GO:0004559","alpha-mannosidase activity","1/99","12/11023",0.10265586963685,0.459948476945341,0.459948476945341,"evm.model.tig082700000212.53",1
"GO:0004708","GO:0004708","MAP kinase kinase activity","1/99","12/11023",0.10265586963685,0.459948476945341,0.459948476945341,"evm.model.tig082700000196.89",1
"GO:0016747","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","1/99","12/11023",0.10265586963685,0.459948476945341,0.459948476945341,"evm.model.tig082700000016.604",1
"GO:0030234","GO:0030234","enzyme regulator activity","1/99","12/11023",0.10265586963685,0.459948476945341,0.459948476945341,"evm.model.tig082700000016.598",1
"GO:0008289","GO:0008289","lipid binding","2/99","61/11023",0.103989425419883,0.459948476945341,0.459948476945341,"evm.model.tig082700000272.53/evm.model.tig082700000308.52",2
"GO:0015385","GO:0015385","sodium:proton antiporter activity","1/99","13/11023",0.110723898780975,0.459948476945341,0.459948476945341,"evm.model.tig082700000156.29",1
"GO:0016799","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","1/99","13/11023",0.110723898780975,0.459948476945341,0.459948476945341,"evm.model.tig082700002120.252",1
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","4/99","213/11023",0.124827708494507,0.459948476945341,0.459948476945341,"evm.model.tig082700000106.258/evm.model.tig082700000122.243/evm.model.tig082700000016.598/evm.model.tig082700000071.393",4
"GO:0008330","GO:0008330","protein tyrosine/threonine phosphatase activity","1/99","15/11023",0.126645149255946,0.459948476945341,0.459948476945341,"evm.model.tig082700002120.400",1
"GO:0035174","GO:0035174","histone serine kinase activity","1/99","15/11023",0.126645149255946,0.459948476945341,0.459948476945341,"evm.model.tig082700000071.393",1
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/99","16/11023",0.134499630562601,0.459948476945341,0.459948476945341,"evm.model.tig082700000196.89",1
"GO:0061608","GO:0061608","nuclear import signal receptor activity","1/99","16/11023",0.134499630562601,0.459948476945341,0.459948476945341,"evm.model.tig082700000116.6",1
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","1/99","17/11023",0.142284180083297,0.459948476945341,0.459948476945341,"evm.model.tig082700000020.571",1
"GO:0017017","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","1/99","17/11023",0.142284180083297,0.459948476945341,0.459948476945341,"evm.model.tig082700002120.400",1
"GO:0015293","GO:0015293","symporter activity","1/99","18/11023",0.149999414153055,0.459948476945341,0.459948476945341,"evm.model.tig082700000287.12",1
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","1/99","19/11023",0.157645943730415,0.459948476945341,0.459948476945341,"evm.model.tig082700000509.13",1
"GO:0004707","GO:0004707","MAP kinase activity","1/99","19/11023",0.157645943730415,0.459948476945341,0.459948476945341,"evm.model.tig082700000122.243",1
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","1/99","19/11023",0.157645943730415,0.459948476945341,0.459948476945341,"evm.model.tig082700000196.89",1
"GO:0005484","GO:0005484","SNAP receptor activity","1/99","19/11023",0.157645943730415,0.459948476945341,0.459948476945341,"evm.model.tig082700000139.233",1
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","6/99","406/11023",0.157838307461797,0.459948476945341,0.459948476945341,"evm.model.tig082700000360.24/evm.model.tig082700000167.166/evm.model.tig082700000212.53/evm.model.tig082700000210.105/evm.model.tig082700000127.23/evm.model.tig082700002120.252",6
"GO:0004527","GO:0004527","exonuclease activity","2/99","81/11023",0.164606081888001,0.459948476945341,0.459948476945341,"evm.model.tig082700000195.80/evm.model.tig082700000351.16",2
"GO:0000149","GO:0000149","SNARE binding","1/99","20/11023",0.165224374443855,0.459948476945341,0.459948476945341,"evm.model.tig082700000139.233",1
"GO:0015299","GO:0015299","solute:proton antiporter activity","1/99","20/11023",0.165224374443855,0.459948476945341,0.459948476945341,"evm.model.tig082700000156.29",1
"GO:0005216","GO:0005216","ion channel activity","6/99","424/11023",0.181291793642622,0.459948476945341,0.459948476945341,"evm.model.tig082700000149.95/evm.model.tig082700000106.258/evm.model.tig082700000175.115/evm.model.tig082700000116.208/evm.model.tig082700000147.168/evm.model.tig082700000153.116",6
"GO:0004252","GO:0004252","serine-type endopeptidase activity","3/99","165/11023",0.185033987472751,0.459948476945341,0.459948476945341,"evm.model.tig082700000071.177/evm.model.tig082700000020.378/evm.model.tig082700000196.89",3
"GO:0031624","GO:0031624","ubiquitin conjugating enzyme binding","1/99","23/11023",0.187557050698135,0.459948476945341,0.459948476945341,"evm.model.tig082700000215.122",1
"GO:0016746","GO:0016746","acyltransferase activity","3/99","170/11023",0.196406899463894,0.459948476945341,0.459948476945341,"evm.model.tig082700000331.1/evm.model.tig082700000016.598/evm.model.tig082700000016.604",3
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","1/99","25/11023",0.202115874710082,0.459948476945341,0.459948476945341,"evm.model.tig082700000287.12",1
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","1/99","25/11023",0.202115874710082,0.459948476945341,0.459948476945341,"evm.model.tig082700000174.171",1
"GO:0008237","GO:0008237","metallopeptidase activity","2/99","94/11023",0.206670333501897,0.459948476945341,0.459948476945341,"evm.model.tig082700000116.208/evm.model.tig082700000253.24",2
"GO:0008408","GO:0008408","3'-5' exonuclease activity","1/99","26/11023",0.20929813770369,0.459948476945341,0.459948476945341,"evm.model.tig082700000212.53",1
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","1/99","29/11023",0.230463150864094,0.459948476945341,0.459948476945341,"evm.model.tig082700002120.400",1
"GO:0008080","GO:0008080","N-acetyltransferase activity","1/99","29/11023",0.230463150864094,0.459948476945341,0.459948476945341,"evm.model.tig082700000016.604",1
"GO:0030553","GO:0030553","cGMP binding","1/99","29/11023",0.230463150864094,0.459948476945341,0.459948476945341,"evm.model.tig082700000106.258",1
"GO:0003950","GO:0003950","NAD+ ADP-ribosyltransferase activity","1/99","30/11023",0.23739276229437,0.459948476945341,0.459948476945341,"evm.model.tig082700000120.274",1
"GO:0015297","GO:0015297","antiporter activity","1/99","30/11023",0.23739276229437,0.459948476945341,0.459948476945341,"evm.model.tig082700000156.29",1
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","1/99","30/11023",0.23739276229437,0.459948476945341,0.459948476945341,"evm.model.tig082700000174.65",1
"GO:0051287","GO:0051287","NAD binding","1/99","30/11023",0.23739276229437,0.459948476945341,0.459948476945341,"evm.model.tig082700000106.358",1
