"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00730","ko00730","Thiamine metabolism","3/32","37/4543",0.0020969082318437,0.243241354893869,0.24279990052927,"evm.model.tig082700000156.120/evm.model.tig082700000273.61/evm.model.tig082700000071.419",3
"ko00260","ko00260","Glycine, serine and threonine metabolism","2/32","43/4543",0.0362778881374962,0.531851315891147,0.530886068493885,"evm.model.tig082700000289.29/evm.model.tig082700000210.95",2
"ko01240","ko01240","Biosynthesis of cofactors","4/32","183/4543",0.0379717388710818,0.531851315891147,0.530886068493885,"evm.model.tig082700000156.120/evm.model.tig082700000071.419/evm.model.tig082700000185.132/evm.model.tig082700000075.454",4
"ko00790","ko00790","Folate biosynthesis","2/32","46/4543",0.0410432621599211,0.531851315891147,0.530886068493885,"evm.model.tig082700000156.120/evm.model.tig082700000071.419",2
"ko04916","ko04916","Melanogenesis","3/32","110/4543",0.0411892196312234,0.531851315891147,0.530886068493885,"evm.model.tig082700000020.378/evm.model.tig082700000016.598/evm.model.tig082700000272.32",3
"ko04214","ko04214","Apoptosis - fly","2/32","47/4543",0.0426819847401075,0.531851315891147,0.530886068493885,"evm.model.tig082700000163.179/evm.model.tig082700000210.5",2
"ko04721","ko04721","Synaptic vesicle cycle","2/32","52/4543",0.0512344057740367,0.531851315891147,0.530886068493885,"evm.model.tig082700000287.12/evm.model.tig082700000139.233",2
"ko04744","ko04744","Phototransduction","2/32","55/4543",0.0566388080366265,0.531851315891147,0.530886068493885,"evm.model.tig082700000016.598/evm.model.tig082700000272.32",2
"ko04215","ko04215","Apoptosis - multiple species","1/32","10/4543",0.0683123390904339,0.531851315891147,0.530886068493885,"evm.model.tig082700000163.179",1
"ko04016","ko04016","MAPK signaling pathway - plant","2/32","70/4543",0.0863505989179218,0.531851315891147,0.530886068493885,"evm.model.tig082700000016.598/evm.model.tig082700000272.32",2
"ko05150","ko05150","Staphylococcus aureus infection","1/32","13/4543",0.0879089771278577,0.531851315891147,0.530886068493885,"evm.model.tig082700000215.38",1
"ko02020","ko02020","Two-component system","2/32","71/4543",0.0884732759295121,0.531851315891147,0.530886068493885,"evm.model.tig082700000156.120/evm.model.tig082700000071.419",2
"ko05133","ko05133","Pertussis","2/32","71/4543",0.0884732759295121,0.531851315891147,0.530886068493885,"evm.model.tig082700000016.598/evm.model.tig082700000272.32",2
"ko04022","ko04022","cGMP-PKG signaling pathway","3/32","154/4543",0.0926814982468683,0.531851315891147,0.530886068493885,"evm.model.tig082700000215.38/evm.model.tig082700000016.598/evm.model.tig082700000272.32",3
"ko05200","ko05200","Pathways in cancer","4/32","254/4543",0.100602848368974,0.531851315891147,0.530886068493885,"evm.model.tig082700000215.38/evm.model.tig082700000163.179/evm.model.tig082700000016.598/evm.model.tig082700000272.32",4
"ko04270","ko04270","Vascular smooth muscle contraction","3/32","160/4543",0.101149662841215,0.531851315891147,0.530886068493885,"evm.model.tig082700000215.38/evm.model.tig082700000016.598/evm.model.tig082700000272.32",3
