x,y1,y2
18,1,0.019534
19,1,0.053226
20,1,0.025005
21,3,0.068966
22,23,4.93879
23,82,52.178133
24,33,30.93795
25,16,3.990015
26,3,0.446132
27,0,0
28,0,0
29,2,0.02085
30,3,0.014758
31,0,0
32,6,3.46514
33,2,0.010568
34,6,0.015231
35,11,0.034688
36,27,0.185335
37,47,0.368165
38,41,0.455773
39,46,0.314523
40,42,0.435432
41,35,2.225945
42,43,2.362563
43,46,0.420886
44,46,0.398434
45,13,0.055486
46,7,0.020601
47,3,0.008256
48,1,3.996045
49,0,0
50,0,0
51,0,0
52,0,0
53,3,0.326136
54,1,0.344351
55,8,2.95528
56,9,1.855477
57,6,1.81007
58,12,4.529479
59,1,0.103504
60,6,1.554116
61,1,3.822752
