x,y1,y2
20,5,0.440859
21,22,9.465744
22,79,67.454057
23,39,19.880805
24,12,0.718809
25,6,0.215353
26,4,0.079276
27,9,0.143692
28,4,0.090559
29,21,0.642002
30,29,5.073002
31,22,6.442114
32,16,3.211072
33,22,6.389395
34,18,1.86117
35,11,0.224693
36,13,2.407868
37,25,0.731356
38,32,3.680843
39,42,1.253391
40,22,0.764264
41,5,0.13718
42,12,0.246343
43,9,2.367734
44,21,2.739439
45,29,0.689411
46,19,0.174846
47,18,3.312306
48,21,1.213391
49,33,3.782558
50,44,3.125721
51,45,2.051617
52,38,2.373484
53,38,0.753624
54,12,0.278785
55,10,0.235464
56,10,0.266637
57,14,0.755855
58,29,5.717961
59,28,13.936623
60,26,3.856394
61,47,4.898967
62,36,2.415209
63,38,4.732207
64,39,0.954891
65,16,0.221243
66,5,0.138832
67,1,0.00124
