group,num,strain
1-50,43,LJL43
50-100,11,LJL43
100-150,13,LJL43
150-200,12,LJL43
200-250,9,LJL43
250-300,8,LJL43
300-350,8,LJL43
350-400,6,LJL43
400-450,10,LJL43
450-500,6,LJL43
500-550,3,LJL43
550-600,4,LJL43
600-650,1,LJL43
650-700,2,LJL43
700-750,2,LJL43
750-800,1,LJL43
800-850,5,LJL43
850-900,1,LJL43
900-950,4,LJL43
950-1000,2,LJL43
1M,30,LJL43
1-50,17,LHA0827
50-100,16,LHA0827
100-150,15,LHA0827
150-200,8,LHA0827
200-250,13,LHA0827
250-300,8,LHA0827
300-350,11,LHA0827
350-400,9,LHA0827
400-450,3,LHA0827
450-500,7,LHA0827
500-550,1,LHA0827
550-600,5,LHA0827
600-650,2,LHA0827
650-700,5,LHA0827
700-750,4,LHA0827
750-800,2,LHA0827
800-850,1,LHA0827
850-900,2,LHA0827
900-950,2,LHA0827
950-1000,3,LHA0827
1M,27,LHA0827
