x,y,strain,,,,,
1,4943,LHA0827,,15580,73.79%,,
2,3490,LHA0827,,3490,,,63990
3,2904,LHA0827,,5808,,,
4,2353,LHA0827,,7059,,,
5,1890,LHA0827,,7560,,,
6,1437,LHA0827,,7185,,,
7,1057,LHA0827,,6342,,,
8,769,LHA0827,,5383,,,
9,555,LHA0827,,4440,,,
10,447,LHA0827,,4023,,,
11,1270,LHA0827,,12700,,,
1,10218,LJL43,,24240,28909,83.85%,
2,5682,LJL43,,5682,,,62034
3,3824,LJL43,,7648,,,
4,2554,LJL43,,7662,,,
5,1962,LJL43,,7848,,,
6,1307,LJL43,,6535,,,
7,954,LJL43,,5724,,,
8,637,LJL43,,4459,,,
9,465,LJL43,,3720,,,
10,304,LJL43,,2736,,,
11,1002,LJL43,,10020,,,
