gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000365.16,0,0,0,1460,6774,19,382,0,1291,0,0,0
evm.model.tig082700000238.87,1280,236,233,2145,3479,42,0,0,1250,0,0,0
evm.model.tig082700000147.5,338,379,378,658,608,597,0,0,557,0,0,0
evm.model.tig082700000016.637,103,164,163,184,1702,105,0,0,0,0,0,0
evm.model.tig082700000377.10,263,878,877,2190,654,96,0,0,1128,0,0,0
evm.model.tig082700000075.368,170,105,107,446,1246,96,0,264,437,0,0,0
evm.model.tig082700000136.101,26,0,0,67,1060,147,0,0,6,0,0,0
evm.model.tig082700000279.64,927,312,313,808,1063,61,214,241,742,0,0,0
evm.model.tig082700002120.395,281,260,260,963,415,215,0,0,0,0,0,0
evm.model.tig082700002120.282,146,386,389,0,687,232,0,0,740,0,0,0
evm.model.tig082700000075.361,72,0,0,358,776,102,0,0,273,0,0,0
evm.model.tig082700000228.81,214,251,250,657,669,94,0,0,0,0,0,0
evm.model.tig082700000075.565,370,291,292,862,464,128,0,0,0,0,0,0
evm.model.tig082700000328.85,173,189,188,1250,504,74,0,0,1037,0,0,0
evm.model.tig082700031375.6,350,529,532,1011,259,171,0,0,1225,0,0,0
evm.model.tig082700000122.3,92,0,0,798,494,119,0,0,339,0,0,0
evm.model.tig082700000428.20,92,44,46,401,991,0,0,0,0,0,0,0
evm.model.tig082700000372.4,661,141,142,426,200,201,0,0,329,0,0,0
evm.model.tig082700000067.28,1310,101,103,737,390,65,0,0,249,0,0,0
evm.model.tig082700000020.13,196,343,343,738,37,165,393,0,871,0,0,0
evm.model.tig082700000071.222,92,0,0,705,264,99,0,0,0,0,0,0
evm.model.tig082700000162.22,168,0,0,1246,230,51,0,0,0,0,0,0
evm.model.tig082700000075.477,110,232,230,481,360,91,0,0,0,0,0,0
evm.model.tig082700000180.42,233,296,0,0,297,152,0,0,749,0,0,0
evm.model.tig082700000163.140,77,122,124,259,560,34,0,0,376,0,0,0
evm.model.tig082700000122.158,0,0,0,377,339,89,0,0,1305,0,0,0
evm.model.tig082700000075.343,95,150,149,976,124,87,0,0,0,0,0,0
evm.model.tig082700002117.265,0,250,250,1105,45,89,0,0,633,0,0,0
evm.model.tig082700000136.52,121,0,0,179,431,69,0,0,0,0,0,0
evm.model.tig082700000240.54,0,189,186,598,229,75,0,0,771,0,0,0
evm.model.tig082700002115.25,177,221,219,391,397,43,0,0,780,0,0,0
evm.model.tig082700000174.11,568,199,196,855,214,47,0,0,728,0,0,0
evm.model.tig082700000075.513,222,0,538,1078,279,0,0,0,1026,0,0,0
evm.model.tig082700000127.292,0,180,180,271,188,113,0,0,276,0,0,0
evm.model.tig082700000016.432,60,206,207,504,80,115,0,0,433,0,0,0
evm.model.tig082700000120.309,107,107,110,346,284,58,0,0,355,0,0,0
evm.model.tig082700000289.66,162,97,98,221,385,39,0,0,304,0,0,0
evm.model.tig082700031372.161,70,248,247,266,109,116,0,0,356,0,0,0
evm.model.tig082700000206.75,182,356,355,1260,19,31,0,0,0,0,0,0
evm.model.tig082700000020.390,83,219,219,366,264,41,0,0,612,0,0,0
evm.model.tig082700000360.13,93,136,134,577,149,42,0,0,267,0,0,0
evm.model.tig082700000338.10,93,127,124,130,210,71,0,0,0,0,0,0
evm.model.tig082700000125.247,26,40,39,470,264,12,0,0,247,0,0,0
evm.model.tig082700000016.733,221,80,83,562,118,44,0,0,646,0,0,0
evm.model.tig082700000175.207,152,173,175,491,206,22,0,0,171,0,0,0
evm.model.tig082700002120.51,58,106,106,312,219,36,0,0,0,0,0,0
evm.model.tig082700000020.442,154,0,0,0,329,34,0,0,495,0,0,0
evm.model.tig082700000071.420,8,0,0,668,202,0,0,0,522,0,0,0
evm.model.tig082700000446.16,159,217,0,412,245,13,0,0,645,0,0,0
evm.model.tig082700000169.108,54,46,46,700,69,34,0,0,473,0,0,0
evm.model.tig082700000149.79,0,0,0,809,59,20,0,0,843,0,0,0
evm.model.tig082700000075.303,0,0,0,484,72,49,0,0,274,0,0,0
evm.model.tig082700000120.250,138,147,148,0,213,56,0,0,492,0,0,0
evm.model.tig082700000020.110,0,164,162,312,169,36,0,0,0,0,0,0
