name,num
tig4300000019,1180
tig4300000032,892
tig4300000080,700
tig4300000100,798
tig4300000105,803
tig4300000218,718
tig4300000259,681
tig4300000302,570
tig4300000329,713
tig4300000400,534
tig4300000412,230
tig4300000435,592
tig4300000446,534
tig4300000447,368
tig4300000479,5
tig4300000563,467
tig4300000568,479
tig4300000569,499
tig4300000628,505
tig4300000791,481
tig4300000823,399
tig4300000834,381
tig4300000846,161
tig4300000902,405
tig4300000943,359
tig4300001056,127
tig4300001115,332
tig4300001283,254
tig4300001320,299
tig4300001369,317
tig4300001371,296
tig4300001392,272
tig4300001460,294
tig4300001489,228
tig4300001526,218
tig4300001605,180
tig4300001768,204
tig4300001927,184
tig4300001959,202
tig4300001962,157
tig4300001990,174
tig4300002009,120
tig4300002021,152
tig4300002057,172
tig4300002060,140
tig4300002066,198
tig4300002090,158
tig4300002136,117
tig4300002141,134
tig4300002195,150
tig4300002206,149
tig4300002218,171
tig4300002227,139
tig4300002261,136
tig4300002262,139
tig4300002303,156
tig4300002305,84
tig4300002308,130
tig4300002343,95
tig4300002364,96
tig4300002467,139
tig4300002474,114
tig4300002479,119
tig4300002499,96
tig4300002534,61
tig4300002568,114
tig4300002569,106
tig4300002584,88
tig4300002601,86
tig4300002646,26
tig4300002651,56
tig4300002711,94
tig4300002728,111
tig4300002731,66
tig4300002771,35
tig4300002775,92
tig4300002804,66
tig4300002810,63
tig4300002852,51
tig4300002893,59
tig4300002928,61
tig4300002959,54
tig4300003000,74
tig4300003051,46
tig4300003085,55
tig4300003192,46
tig4300003197,49
tig4300003204,70
tig4300003222,74
tig4300003226,42
tig4300003241,43
tig4300003249,64
tig4300003252,46
tig4300003300,39
tig4300003331,38
tig4300003416,49
tig4300003420,37
tig4300003487,29
tig4300003493,26
tig4300003577,13
tig4300003614,12
tig4300003653,7
tig4300003671,17
tig4300003677,19
tig4300003709,8
tig4300003766,25
tig4300003779,12
tig4300003802,17
tig4300003821,8
tig4300003830,10
tig4300003915,39
tig4300003939,1
tig4300003977,24
tig4300004062,17
tig4300004125,9
tig4300004159,2
tig4300004167,15
tig4300004305,32
tig4300004482,15
tig4300004600,16
tig4300005130,4
tig4300009197,2
tig4300032471,653
tig4300032481,122
tig4300032482,4
tig4300032483,141
tig4300032486,133
tig4300032487,107
tig4300032489,14
tig4300032496,30
tig4300463639,9
tig4300463640,430
tig4300463644,663
tig4300463651,4
tig4300463652,367
tig4300463653,6
tig4300463654,416
tig4300463655,234
tig4300463656,18
tig4300463663,322
tig4300463665,253
tig4300463666,11
tig4300463669,198
tig4300463670,13
tig4300463671,215
tig4300463677,222
tig4300463680,262
tig4300463683,175
tig4300463685,157
tig4300463689,4
tig4300463690,95
tig4300463691,159
tig4300463692,10
tig4300463693,10
tig4300463694,121
tig4300463704,4
tig4300463705,17
tig4300463706,9
tig4300463707,79
tig4300463708,6
tig4300463709,78
tig4300463714,41
tig4300463716,5
tig4300463717,59
tig4300463718,9
tig4300463719,55
tig4300463720,42
tig4300463721,2
tig4300463724,6
tig4300463725,33
tig4300463726,1
tig4300463727,35
tig4300463730,17
tig4300463731,34
tig4300463736,15
tig4300463737,7
tig4300463746,11
tig4300463747,11
tig4300463760,8
tig4300463761,10
tig4300463840,1
