ko,gene
ko00053,evm.model.tig082700002120.32
ko01110,evm.model.tig082700002120.32
ko05208,evm.model.tig082700002120.32
ko00561,evm.model.tig082700002120.32
ko00930,evm.model.tig082700002120.32
ko00620,evm.model.tig082700002120.32
ko00040,evm.model.tig082700002120.32
ko01220,evm.model.tig082700002120.32
ko01120,evm.model.tig082700002120.32
ko01100,evm.model.tig082700002120.32
ko01240,evm.model.tig082700002120.32
ko00010,evm.model.tig082700002120.32
ko00053,evm.model.tig082700031367.324
ko01110,evm.model.tig082700031367.324
ko05208,evm.model.tig082700031367.324
ko00561,evm.model.tig082700031367.324
ko00930,evm.model.tig082700031367.324
ko00620,evm.model.tig082700031367.324
ko00040,evm.model.tig082700031367.324
ko01220,evm.model.tig082700031367.324
ko01120,evm.model.tig082700031367.324
ko01100,evm.model.tig082700031367.324
ko01240,evm.model.tig082700031367.324
ko00010,evm.model.tig082700031367.324
ko00052,evm.model.tig082700000111.295
ko00040,evm.model.tig082700000111.295
ko00051,evm.model.tig082700000111.295
ko01100,evm.model.tig082700000111.295
ko00561,evm.model.tig082700000111.295
ko00790,evm.model.tig082700000111.295
ko01250,evm.model.tig082700000120.97
ko00541,evm.model.tig082700000120.97
ko00053,evm.model.tig082700000120.97
ko00040,evm.model.tig082700000120.97
ko01240,evm.model.tig082700000120.97
ko01100,evm.model.tig082700000120.97
ko00520,evm.model.tig082700000120.97
ko01250,evm.model.tig082700000151.245
ko00541,evm.model.tig082700000151.245
ko00053,evm.model.tig082700000151.245
ko00040,evm.model.tig082700000151.245
ko01240,evm.model.tig082700000151.245
ko01100,evm.model.tig082700000151.245
ko00520,evm.model.tig082700000151.245
ko01250,evm.model.tig082700000240.77
ko00541,evm.model.tig082700000240.77
ko00053,evm.model.tig082700000240.77
ko00040,evm.model.tig082700000240.77
ko01240,evm.model.tig082700000240.77
ko01100,evm.model.tig082700000240.77
ko00520,evm.model.tig082700000240.77
ko01250,evm.model.tig082700000353.13
ko00541,evm.model.tig082700000353.13
ko00053,evm.model.tig082700000353.13
ko00040,evm.model.tig082700000353.13
ko01240,evm.model.tig082700000353.13
ko01100,evm.model.tig082700000353.13
ko00520,evm.model.tig082700000353.13
ko01100,evm.model.tig082700000140.254
ko00999,evm.model.tig082700000140.254
ko01110,evm.model.tig082700000140.254
ko00400,evm.model.tig082700000140.254
ko01230,evm.model.tig082700000140.254
ko00280,evm.model.tig082700000067.380
ko01100,evm.model.tig082700000067.380
ko00280,evm.model.tig082700000172.67
ko01100,evm.model.tig082700000172.67
ko00280,evm.model.tig082700000132.112
ko01100,evm.model.tig082700000132.112
ko00280,evm.model.tig082700000160.57
ko01100,evm.model.tig082700000160.57
ko00710,evm.model.tig082700000128.46
ko00630,evm.model.tig082700000128.46
ko00620,evm.model.tig082700000128.46
ko00270,evm.model.tig082700000128.46
ko00020,evm.model.tig082700000128.46
ko00680,evm.model.tig082700000128.46
ko01110,evm.model.tig082700000128.46
ko01120,evm.model.tig082700000128.46
ko00720,evm.model.tig082700000128.46
ko01200,evm.model.tig082700000128.46
ko01100,evm.model.tig082700000128.46
ko04964,evm.model.tig082700000283.57
ko00710,evm.model.tig082700000283.57
ko01100,evm.model.tig082700000283.57
ko00620,evm.model.tig082700000283.57
ko00630,evm.model.tig082700000283.57
ko01110,evm.model.tig082700000283.57
ko00020,evm.model.tig082700000283.57
ko01200,evm.model.tig082700000283.57
ko00270,evm.model.tig082700000283.57
ko01120,evm.model.tig082700000283.57
ko04964,evm.model.tig082700000122.74
ko00710,evm.model.tig082700000122.74
ko01100,evm.model.tig082700000122.74
ko00620,evm.model.tig082700000122.74
ko00630,evm.model.tig082700000122.74
ko01110,evm.model.tig082700000122.74
ko00020,evm.model.tig082700000122.74
ko01200,evm.model.tig082700000122.74
ko00270,evm.model.tig082700000122.74
ko01120,evm.model.tig082700000122.74
ko04964,evm.model.tig082700000175.176
ko00710,evm.model.tig082700000175.176
ko01100,evm.model.tig082700000175.176
ko00620,evm.model.tig082700000175.176
ko00630,evm.model.tig082700000175.176
ko01110,evm.model.tig082700000175.176
ko00020,evm.model.tig082700000175.176
ko01200,evm.model.tig082700000175.176
ko00270,evm.model.tig082700000175.176
ko01120,evm.model.tig082700000175.176
ko01200,evm.model.tig082700031375.54
ko02020,evm.model.tig082700031375.54
ko00620,evm.model.tig082700031375.54
ko01200,evm.model.tig082700031375.53
ko02020,evm.model.tig082700031375.53
ko00620,evm.model.tig082700031375.53
ko00620,evm.model.tig082700000155.36
ko01200,evm.model.tig082700000155.36
ko01100,evm.model.tig082700000155.36
ko01120,evm.model.tig082700000155.36
ko00710,evm.model.tig082700000155.36
ko01120,evm.model.tig082700000246.10
ko01110,evm.model.tig082700000246.10
ko01210,evm.model.tig082700000246.10
ko01200,evm.model.tig082700000246.10
ko00020,evm.model.tig082700000246.10
ko01100,evm.model.tig082700000246.10
ko01230,evm.model.tig082700000246.10
ko01120,evm.model.tig082700000206.12
ko01110,evm.model.tig082700000206.12
ko01210,evm.model.tig082700000206.12
ko01200,evm.model.tig082700000206.12
ko00020,evm.model.tig082700000206.12
ko01100,evm.model.tig082700000206.12
ko01230,evm.model.tig082700000206.12
ko01120,evm.model.tig082700000273.71
ko01110,evm.model.tig082700000273.71
ko01210,evm.model.tig082700000273.71
ko01200,evm.model.tig082700000273.71
ko00020,evm.model.tig082700000273.71
ko01100,evm.model.tig082700000273.71
ko01230,evm.model.tig082700000273.71
ko00020,evm.model.tig082700000187.56
ko01210,evm.model.tig082700000187.56
ko01230,evm.model.tig082700000187.56
ko01110,evm.model.tig082700000187.56
ko01100,evm.model.tig082700000187.56
ko01200,evm.model.tig082700000187.56
ko05230,evm.model.tig082700000187.56
ko01120,evm.model.tig082700000187.56
ko04146,evm.model.tig082700000187.56
ko00720,evm.model.tig082700000187.56
ko00480,evm.model.tig082700000187.56
ko00020,evm.model.tig082700000096.103
ko01210,evm.model.tig082700000096.103
ko01230,evm.model.tig082700000096.103
ko01110,evm.model.tig082700000096.103
ko01100,evm.model.tig082700000096.103
ko01200,evm.model.tig082700000096.103
ko05230,evm.model.tig082700000096.103
ko01120,evm.model.tig082700000096.103
ko04146,evm.model.tig082700000096.103
ko00720,evm.model.tig082700000096.103
ko00480,evm.model.tig082700000096.103
ko00564,evm.model.tig082700000020.589
ko01110,evm.model.tig082700000020.589
ko01120,evm.model.tig082700000136.176
ko00680,evm.model.tig082700000136.176
ko01100,evm.model.tig082700000136.176
ko01230,evm.model.tig082700000136.176
ko01110,evm.model.tig082700000136.176
ko01200,evm.model.tig082700000136.176
ko00270,evm.model.tig082700000136.176
ko00260,evm.model.tig082700000136.176
ko01120,evm.model.tig082700000136.175
ko00680,evm.model.tig082700000136.175
ko01100,evm.model.tig082700000136.175
ko01230,evm.model.tig082700000136.175
ko01110,evm.model.tig082700000136.175
ko01200,evm.model.tig082700000136.175
ko00270,evm.model.tig082700000136.175
ko00260,evm.model.tig082700000136.175
ko01120,evm.model.tig082700000147.50
ko00680,evm.model.tig082700000147.50
ko01100,evm.model.tig082700000147.50
ko01230,evm.model.tig082700000147.50
ko01110,evm.model.tig082700000147.50
ko01200,evm.model.tig082700000147.50
ko00270,evm.model.tig082700000147.50
ko00260,evm.model.tig082700000147.50
ko01240,evm.model.tig082700000180.132
ko00780,evm.model.tig082700000180.132
ko00061,evm.model.tig082700000180.132
ko01212,evm.model.tig082700000180.132
ko00333,evm.model.tig082700000180.132
ko01100,evm.model.tig082700000180.132
ko01110,evm.model.tig082700000180.132
ko05202,evm.model.tig082700000156.166
ko01100,evm.model.tig082700000113.41
ko00360,evm.model.tig082700000113.41
ko00362,evm.model.tig082700000113.41
ko01120,evm.model.tig082700000113.41
ko01200,evm.model.tig082700000113.41
ko00650,evm.model.tig082700000113.41
ko00980,evm.model.tig082700000192.38
ko00590,evm.model.tig082700000192.38
ko05204,evm.model.tig082700000192.38
ko00790,evm.model.tig082700000192.38
ko01100,evm.model.tig082700000192.38
ko05208,evm.model.tig082700000192.38
ko00980,evm.model.tig082700000192.36
ko00590,evm.model.tig082700000192.36
ko05204,evm.model.tig082700000192.36
ko00790,evm.model.tig082700000192.36
ko01100,evm.model.tig082700000192.36
ko05208,evm.model.tig082700000192.36
ko00980,evm.model.tig082700000192.27
ko00590,evm.model.tig082700000192.27
ko05204,evm.model.tig082700000192.27
ko00790,evm.model.tig082700000192.27
ko01100,evm.model.tig082700000192.27
ko05208,evm.model.tig082700000192.27
ko00983,evm.model.tig082700000377.46
ko00230,evm.model.tig082700000377.46
ko01100,evm.model.tig082700000377.46
ko01110,evm.model.tig082700000377.46
ko01232,evm.model.tig082700000377.46
ko00983,evm.model.tig082700000206.130
ko00230,evm.model.tig082700000206.130
ko01100,evm.model.tig082700000206.130
ko01110,evm.model.tig082700000206.130
ko01232,evm.model.tig082700000206.130
ko00983,evm.model.tig082700000377.45
ko00230,evm.model.tig082700000377.45
ko01100,evm.model.tig082700000377.45
ko01110,evm.model.tig082700000377.45
ko01232,evm.model.tig082700000377.45
ko01100,evm.model.tig082700000385.19
ko00620,evm.model.tig082700000385.19
ko01110,evm.model.tig082700000167.82
ko00232,evm.model.tig082700000167.82
