ko,Des
ko01100,Metabolic pathways
ko01110,Biosynthesis of secondary metabolites
ko05022,Pathways of neurodegeneration - multiple diseases
ko05014,Amyotrophic lateral sclerosis
ko01120,Microbial metabolism in diverse environments
ko05016,Huntington disease
ko03010,Ribosome
ko05010,Alzheimer disease
ko05171,Coronavirus disease - COVID-19
ko05012,Parkinson disease
ko03040,Spliceosome
ko01240,Biosynthesis of cofactors
ko05020,Prion disease
ko01200,Carbon metabolism
ko05132,Salmonella infection
ko04120,Ubiquitin mediated proteolysis
ko05131,Shigellosis
ko04144,Endocytosis
ko04141,Protein processing in endoplasmic reticulum
ko05200,Pathways in cancer
ko05165,Human papillomavirus infection
ko05017,Spinocerebellar ataxia
ko04714,Thermogenesis
ko04111,Cell cycle - yeast
ko01230,Biosynthesis of amino acids
ko03008,Ribosome biogenesis in eukaryotes
ko04110,Cell cycle
ko04142,Lysosome
ko00230,Purine metabolism
ko05170,Human immunodeficiency virus 1 infection
ko04140,Autophagy - animal
ko05169,Epstein-Barr virus infection
ko04151,PI3K-Akt signaling pathway
ko04146,Peroxisome
ko01232,Nucleotide metabolism
ko05166,Human T-cell leukemia virus 1 infection
ko04010,MAPK signaling pathway
ko04138,Autophagy - yeast
ko03013,Nucleocytoplasmic transport
ko05208,Chemical carcinogenesis - reactive oxygen species
ko04114,Oocyte meiosis
ko04113,Meiosis - yeast
ko05203,Viral carcinogenesis
ko05415,Diabetic cardiomyopathy
ko00190,Oxidative phosphorylation
ko04150,mTOR signaling pathway
ko03018,RNA degradation
ko03050,Proteasome
ko05417,Lipid and atherosclerosis
ko04218,Cellular senescence
ko05130,Pathogenic Escherichia coli infection
ko04510,Focal adhesion
ko00564,Glycerophospholipid metabolism
ko04145,Phagosome
ko04024,cAMP signaling pathway
ko05167,Kaposi sarcoma-associated herpesvirus infection
ko03015,mRNA surveillance pathway
ko04921,Oxytocin signaling pathway
ko04621,NOD-like receptor signaling pathway
ko04810,Regulation of actin cytoskeleton
ko05205,Proteoglycans in cancer
ko00270,Cysteine and methionine metabolism
ko00240,Pyrimidine metabolism
ko04210,Apoptosis
ko04910,Insulin signaling pathway
ko04371,Apelin signaling pathway
ko04014,Ras signaling pathway
ko05163,Human cytomegalovirus infection
ko04932,Non-alcoholic fatty liver disease
ko00260,"Glycine, serine and threonine metabolism"
ko05135,Yersinia infection
ko04530,Tight junction
ko04152,AMPK signaling pathway
ko05152,Tuberculosis
ko04721,Synaptic vesicle cycle
ko04068,FoxO signaling pathway
ko04217,Necroptosis
ko04020,Calcium signaling pathway
ko00280,"Valine, leucine and isoleucine degradation"
ko05168,Herpes simplex virus 1 infection
ko04613,Neutrophil extracellular trap formation
ko02020,Two-component system
ko03030,DNA replication
ko04022,cGMP-PKG signaling pathway
ko04914,Progesterone-mediated oocyte maturation
ko00010,Glycolysis / Gluconeogenesis
ko05160,Hepatitis C
ko04071,Sphingolipid signaling pathway
ko00310,Lysine degradation
ko04066,HIF-1 signaling pathway
ko00970,Aminoacyl-tRNA biosynthesis
ko04723,Retrograde endocannabinoid signaling
ko00620,Pyruvate metabolism
ko04919,Thyroid hormone signaling pathway
ko04936,Alcoholic liver disease
ko05110,Vibrio cholerae infection
ko04922,Glucagon signaling pathway
ko04070,Phosphatidylinositol signaling system
ko05164,Influenza A
ko00561,Glycerolipid metabolism
ko04212,Longevity regulating pathway - worm
ko04013,MAPK signaling pathway - fly
ko00330,Arginine and proline metabolism
ko03420,Nucleotide excision repair
ko05207,Chemical carcinogenesis - receptor activation
ko00520,Amino sugar and nucleotide sugar metabolism
ko00562,Inositol phosphate metabolism
ko05225,Hepatocellular carcinoma
ko04728,Dopaminergic synapse
ko05231,Choline metabolism in cancer
ko05162,Measles
ko05034,Alcoholism
ko04666,Fc gamma R-mediated phagocytosis
ko01212,Fatty acid metabolism
ko05120,Epithelial cell signaling in Helicobacter pylori infection
ko00020,Citrate cycle TCA cycle
ko05161,Hepatitis B
ko04261,Adrenergic signaling in cardiomyocytes
ko05206,MicroRNAs in cancer
ko04270,Vascular smooth muscle contraction
ko04310,Wnt signaling pathway
ko03020,RNA polymerase
ko04934,Cushing syndrome
ko05222,Small cell lung cancer
ko03250,Viral life cycle - HIV-1
ko04722,Neurotrophin signaling pathway
ko04062,Chemokine signaling pathway
ko04214,Apoptosis - fly
ko04935,"Growth hormone synthesis, secretion and action"
ko04611,Platelet activation
ko04072,Phospholipase D signaling pathway
ko02010,ABC transporters
ko04137,Mitophagy - animal
ko04361,Axon regeneration
ko00480,Glutathione metabolism
ko00640,Propanoate metabolism
ko00500,Starch and sucrose metabolism
ko04015,Rap1 signaling pathway
ko00250,"Alanine, aspartate and glutamate metabolism"
ko00630,Glyoxylate and dicarboxylate metabolism
ko04211,Longevity regulating pathway
ko04931,Insulin resistance
ko03060,Protein export
ko04011,MAPK signaling pathway - yeast
ko05202,Transcriptional misregulation in cancer
ko05235,PD-L1 expression and PD-1 checkpoint pathway in cancer
ko04912,GnRH signaling pathway
ko05418,Fluid shear stress and atherosclerosis
ko05146,Amoebiasis
ko00680,Methane metabolism
ko03460,Fanconi anemia pathway
ko00510,N-Glycan biosynthesis
ko05100,Bacterial invasion of epithelial cells
ko05215,Prostate cancer
ko04962,Vasopressin-regulated water reabsorption
ko00350,Tyrosine metabolism
ko04213,Longevity regulating pathway - multiple species
ko05226,Gastric cancer
ko04926,Relaxin signaling pathway
ko05145,Toxoplasmosis
