GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.101
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.101
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000016.102
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.102
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.102
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.102
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.104
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000016.107
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.107
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.107
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.107
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000016.107
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000016.109
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.111
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.112
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.112
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.112
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.112
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.112
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000016.113
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.114
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.114
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.114
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.114
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.114
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.115
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.115
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.115
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.115
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.115
GO:0004197,Molecular Function,cysteine-type endopeptidase activity,evm.model.tig082700000016.116
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.116
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000016.116
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.116
GO:0004197,Molecular Function,cysteine-type endopeptidase activity,evm.model.tig082700000016.118
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000016.118
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000016.118
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.118
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.122
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.122
GO:0008559,Molecular Function,ABC-type xenobiotic transporter activity,evm.model.tig082700000016.122
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.122
