tig4300000019	0:4082163
tig4300000032	0:3413584
tig4300000080	0:2884383
tig4300000100	0:2599601
tig4300000105	0:2688954
tig4300000218	0:2231338
tig4300000259	0:2214823
tig4300000302	0:2159446
tig4300000329	0:2090904
tig4300000400	0:1724308
tig4300000412	0:1827487
tig4300000435	0:1795483
tig4300000446	0:1721162
tig4300000447	0:1814973
tig4300000479	0:34451
tig4300000563	0:1730672
tig4300000568	0:1562948
tig4300000569	0:1721550
tig4300000628	0:1615841
tig4300000791	0:1461257
tig4300000823	0:1349715
tig4300000834	0:1328795
tig4300000846	0:1307380
tig4300000902	0:1263894
tig4300000943	0:948191
tig4300001056	0:1085059
tig4300001115	0:949400
tig4300001283	0:826032
tig4300001320	0:926249
tig4300001369	0:983369
tig4300001371	0:823287
tig4300001392	0:797388
tig4300001460	0:852046
tig4300001489	0:832469
tig4300001526	0:832109
tig4300001605	0:730172
tig4300001768	0:623227
tig4300001927	0:532179
tig4300001959	0:574019
tig4300001962	0:425400
tig4300001990	0:527614
tig4300002009	0:453485
tig4300002021	0:482708
tig4300002057	0:496653
tig4300002060	0:466576
tig4300002066	0:586454
tig4300002090	0:516587
tig4300002136	0:342804
tig4300002141	0:406578
tig4300002195	0:430775
tig4300002206	0:439880
tig4300002218	0:463992
tig4300002227	0:406962
tig4300002261	0:382365
tig4300002262	0:398527
tig4300002303	0:429818
tig4300002305	0:273267
tig4300002308	0:402674
tig4300002343	0:299296
tig4300002364	0:274698
tig4300002467	0:401782
tig4300002474	0:391247
tig4300002479	0:371151
tig4300002499	0:288073
tig4300002534	0:328312
tig4300002568	0:334405
tig4300002569	0:324553
tig4300002584	0:306656
tig4300002601	0:254234
tig4300002646	0:233555
tig4300002651	0:176070
tig4300002711	0:317610
tig4300002728	0:290955
tig4300002731	0:245934
tig4300002771	0:131778
tig4300002775	0:267169
tig4300002804	0:213090
tig4300002810	0:207561
tig4300002852	0:148087
tig4300002893	0:162352
tig4300002928	0:183344
tig4300002959	0:187000
tig4300003000	0:197014
tig4300003051	0:159442
tig4300003085	0:152609
tig4300003192	0:147068
tig4300003197	0:123241
tig4300003204	0:196454
tig4300003222	0:207325
tig4300003226	0:159684
tig4300003241	0:133246
tig4300003249	0:205675
tig4300003252	0:171608
tig4300003300	0:120275
tig4300003331	0:107992
tig4300003416	0:120354
tig4300003420	0:96106
tig4300003487	0:105781
tig4300003493	0:97253
tig4300003577	0:53602
tig4300003614	0:12301
tig4300003653	0:34821
tig4300003671	0:36097
tig4300003677	0:76627
tig4300003709	0:36954
tig4300003766	0:53423
tig4300003779	0:27716
tig4300003802	0:36108
tig4300003821	0:37603
tig4300003830	0:36793
tig4300003915	0:71230
tig4300003939	0:3727
tig4300003977	0:45473
tig4300004062	0:33264
tig4300004125	0:24306
tig4300004159	0:23371
tig4300004167	0:30003
tig4300004305	0:62487
tig4300004482	0:36170
tig4300004600	0:36409
tig4300005130	0:4737
tig4300009197	0:9828
tig4300032471	0:2048936
tig4300032481	0:370949
tig4300032482	0:8263
tig4300032483	0:425704
tig4300032486	0:442784
tig4300032487	0:331285
tig4300032489	0:56197
tig4300032496	0:62449
tig4300463639	0:21278
tig4300463640	0:2200526
tig4300463644	0:2142984
tig4300463651	0:18276
tig4300463652	0:1502774
tig4300463653	0:25622
tig4300463654	0:1472643
tig4300463655	0:1256183
tig4300463656	0:41842
tig4300463663	0:963341
tig4300463665	0:820932
tig4300463666	0:27365
tig4300463669	0:908315
tig4300463670	0:41251
tig4300463671	0:725036
tig4300463677	0:687729
tig4300463680	0:675925
tig4300463683	0:587274
tig4300463685	0:582243
tig4300463689	0:13194
tig4300463690	0:363819
tig4300463691	0:482932
tig4300463692	0:28668
tig4300463693	0:32223
tig4300463694	0:330919
tig4300463704	0:19798
tig4300463705	0:221082
tig4300463706	0:26471
tig4300463707	0:278954
tig4300463708	0:24873
tig4300463709	0:234481
tig4300463714	0:196157
tig4300463716	0:26372
tig4300463717	0:205212
tig4300463718	0:33011
tig4300463719	0:179908
tig4300463720	0:145934
tig4300463721	0:14889
tig4300463724	0:18395
tig4300463725	0:110677
tig4300463726	0:5193
tig4300463727	0:110178
tig4300463730	0:65403
tig4300463731	0:120348
tig4300463736	0:55032
tig4300463737	0:25516
tig4300463746	0:27771
tig4300463747	0:27546
tig4300463760	0:28466
tig4300463761	0:28835
tig4300463840	0:5758
